,sepal_score,spatially_variable
gene_0,0.465,1
gene_1,0.199,1
gene_2,0.001,1
gene_3,0.094,1
gene_4,0.248,1
gene_5,0.17300000000000001,1
gene_6,0.40900000000000003,1
gene_7,0.001,1
gene_8,0.233,1
gene_9,0.067,1
gene_10,0.23600000000000002,1
gene_11,0.042,1
gene_12,0.392,1
gene_13,0.077,1
gene_14,0.248,1
gene_15,0.001,1
gene_16,0.065,1
gene_17,0.459,1
gene_18,0.073,1
gene_19,0.367,1
gene_20,0.28,1
gene_21,0.08,1
gene_22,0.12,1
gene_23,0.012,1
gene_24,0.11900000000000001,1
gene_25,0.029,1
gene_26,0.163,1
gene_27,0.185,1
gene_28,0.039,1
gene_29,0.098,1
gene_30,0.387,1
gene_31,0.227,1
gene_32,0.10400000000000001,1
gene_33,0.039,1
gene_34,0.036000000000000004,1
gene_35,0.224,1
gene_36,0.092,1
gene_37,0.022,1
gene_38,0.083,1
gene_39,0.056,1
gene_40,0.101,1
gene_41,0.002,1
gene_42,0.078,1
gene_43,0.291,1
gene_44,0.001,1
gene_45,0.265,1
gene_46,0.281,1
gene_47,0.196,1
gene_48,0.003,1
gene_49,0.047,1
gene_50,0.335,0
gene_51,0.339,0
gene_52,0.341,0
gene_53,0.34600000000000003,0
gene_54,0.337,0
gene_55,0.35100000000000003,0
gene_56,0.342,0
gene_57,0.338,0
gene_58,0.339,0
gene_59,0.34400000000000003,0
gene_60,0.354,0
gene_61,0.338,0
gene_62,0.343,0
gene_63,0.34,0
gene_64,0.34400000000000003,0
gene_65,0.332,0
gene_66,0.343,0
gene_67,0.342,0
gene_68,0.343,0
gene_69,0.335,0
gene_70,0.332,0
gene_71,0.334,0
gene_72,0.343,0
gene_73,0.336,0
gene_74,0.341,0
gene_75,0.336,0
gene_76,0.336,0
gene_77,0.343,0
gene_78,0.341,0
gene_79,0.327,0
gene_80,0.343,0
gene_81,0.355,0
gene_82,0.34800000000000003,0
gene_83,0.34,0
gene_84,0.352,0
gene_85,0.324,0
gene_86,0.341,0
gene_87,0.35000000000000003,0
gene_88,0.343,0
gene_89,0.327,0
gene_90,0.341,0
gene_91,0.338,0
gene_92,0.34700000000000003,0
gene_93,0.343,0
gene_94,0.34,0
gene_95,0.342,0
gene_96,0.34900000000000003,0
gene_97,0.34500000000000003,0
gene_98,0.343,0
gene_99,0.34700000000000003,0
gene_100,0.338,0
gene_101,0.356,0
gene_102,0.34500000000000003,0
gene_103,0.34600000000000003,0
gene_104,0.341,0
gene_105,0.343,0
gene_106,0.333,0
gene_107,0.336,0
gene_108,0.35000000000000003,0
gene_109,0.328,0
gene_110,0.34,0
gene_111,0.334,0
gene_112,0.343,0
gene_113,0.34400000000000003,0
gene_114,0.337,0
gene_115,0.342,0
gene_116,0.342,0
gene_117,0.326,0
gene_118,0.319,0
gene_119,0.337,0
gene_120,0.34,0
gene_121,0.333,0
gene_122,0.331,0
gene_123,0.34600000000000003,0
gene_124,0.34600000000000003,0
gene_125,0.342,0
gene_126,0.338,0
gene_127,0.343,0
gene_128,0.334,0
gene_129,0.331,0
gene_130,0.337,0
gene_131,0.335,0
gene_132,0.341,0
gene_133,0.339,0
gene_134,0.326,0
gene_135,0.337,0
gene_136,0.35100000000000003,0
gene_137,0.341,0
gene_138,0.339,0
gene_139,0.34500000000000003,0
gene_140,0.354,0
gene_141,0.337,0
gene_142,0.34400000000000003,0
gene_143,0.343,0
gene_144,0.342,0
gene_145,0.333,0
gene_146,0.328,0
gene_147,0.34500000000000003,0
gene_148,0.35100000000000003,0
gene_149,0.343,0
gene_150,0.325,0
gene_151,0.332,0
gene_152,0.337,0
gene_153,0.34700000000000003,0
gene_154,0.337,0
gene_155,0.341,0
gene_156,0.334,0
gene_157,0.337,0
gene_158,0.35100000000000003,0
gene_159,0.334,0
gene_160,0.34800000000000003,0
gene_161,0.34900000000000003,0
gene_162,0.361,0
gene_163,0.34,0
gene_164,0.336,0
gene_165,0.343,0
gene_166,0.334,0
gene_167,0.33,0
gene_168,0.334,0
gene_169,0.35100000000000003,0
gene_170,0.339,0
gene_171,0.34900000000000003,0
gene_172,0.34800000000000003,0
gene_173,0.34500000000000003,0
gene_174,0.343,0
gene_175,0.34700000000000003,0
gene_176,0.341,0
gene_177,0.342,0
gene_178,0.336,0
gene_179,0.34,0
gene_180,0.336,0
gene_181,0.334,0
gene_182,0.34500000000000003,0
gene_183,0.333,0
gene_184,0.332,0
gene_185,0.338,0
gene_186,0.34700000000000003,0
gene_187,0.354,0
gene_188,0.338,0
gene_189,0.337,0
gene_190,0.326,0
gene_191,0.34,0
gene_192,0.34500000000000003,0
gene_193,0.35100000000000003,0
gene_194,0.356,0
gene_195,0.358,0
gene_196,0.332,0
gene_197,0.342,0
gene_198,0.333,0
gene_199,0.33,0
gene_200,0.326,0
gene_201,0.335,0
gene_202,0.332,0
