,sepal_score,spatially_variable
gene_0,0.24,1
gene_1,0.045,1
gene_2,0.001,1
gene_3,0.337,1
gene_4,0.048,1
gene_5,0.21,1
gene_6,0.013000000000000001,1
gene_7,0.302,1
gene_8,0.28800000000000003,1
gene_9,0.162,1
gene_10,0.387,1
gene_11,0.11,1
gene_12,0.039,1
gene_13,0.056,1
gene_14,0.079,1
gene_15,0.108,1
gene_16,0.001,1
gene_17,0.452,1
gene_18,0.153,1
gene_19,0.083,1
gene_20,0.389,1
gene_21,0.091,1
gene_22,0.068,1
gene_23,0.001,1
gene_24,0.001,1
gene_25,0.35000000000000003,1
gene_26,0.001,1
gene_27,0.002,1
gene_28,0.253,1
gene_29,0.157,1
gene_30,0.272,1
gene_31,0.005,1
gene_32,0.006,1
gene_33,0.126,1
gene_34,0.129,1
gene_35,0.289,1
gene_36,0.001,1
gene_37,0.189,1
gene_38,0.153,1
gene_39,0.214,1
gene_40,0.155,1
gene_41,0.295,1
gene_42,0.07200000000000001,1
gene_43,0.154,1
gene_44,0.417,1
gene_45,0.164,1
gene_46,0.10300000000000001,1
gene_47,0.058,1
gene_48,0.053,1
gene_49,0.127,1
gene_50,0.34600000000000003,0
gene_51,0.336,0
gene_52,0.339,0
gene_53,0.34500000000000003,0
gene_54,0.34600000000000003,0
gene_55,0.35000000000000003,0
gene_56,0.33,0
gene_57,0.343,0
gene_58,0.333,0
gene_59,0.34600000000000003,0
gene_60,0.338,0
gene_61,0.34,0
gene_62,0.343,0
gene_63,0.339,0
gene_64,0.336,0
gene_65,0.342,0
gene_66,0.338,0
gene_67,0.338,0
gene_68,0.352,0
gene_69,0.338,0
gene_70,0.34600000000000003,0
gene_71,0.338,0
gene_72,0.355,0
gene_73,0.34700000000000003,0
gene_74,0.338,0
gene_75,0.341,0
gene_76,0.354,0
gene_77,0.371,0
gene_78,0.333,0
gene_79,0.341,0
gene_80,0.341,0
gene_81,0.34800000000000003,0
gene_82,0.339,0
gene_83,0.35100000000000003,0
gene_84,0.341,0
gene_85,0.34800000000000003,0
gene_86,0.335,0
gene_87,0.328,0
gene_88,0.34700000000000003,0
gene_89,0.34700000000000003,0
gene_90,0.352,0
gene_91,0.328,0
gene_92,0.342,0
gene_93,0.333,0
gene_94,0.359,0
gene_95,0.356,0
gene_96,0.338,0
gene_97,0.339,0
gene_98,0.359,0
gene_99,0.32,0
gene_100,0.335,0
gene_101,0.352,0
gene_102,0.352,0
gene_103,0.34800000000000003,0
gene_104,0.34500000000000003,0
gene_105,0.34400000000000003,0
gene_106,0.338,0
gene_107,0.34,0
gene_108,0.34600000000000003,0
gene_109,0.359,0
gene_110,0.34500000000000003,0
gene_111,0.343,0
gene_112,0.34,0
gene_113,0.34600000000000003,0
gene_114,0.356,0
