,adjusted_pvalue,spatially_variable
gene_0,2.17043254066351e-15,1
gene_1,2.17043254066351e-15,1
gene_10,2.17043254066351e-15,1
gene_100,1,0
gene_101,1,0
gene_102,1,0
gene_103,0.0204374923820908,0
gene_104,1,0
gene_105,1,0
gene_106,1,0
gene_107,1,0
gene_108,1,0
gene_109,1,0
gene_11,3.52766152483379e-15,1
gene_110,1,0
gene_111,1,0
gene_112,1,0
gene_113,0.37951858183362,0
gene_114,1,0
gene_115,1,0
gene_116,1,0
gene_117,1,0
gene_118,1,0
gene_119,1,0
gene_12,6.77311012768087e-15,1
gene_120,1,0
gene_121,1,0
gene_122,1,0
gene_123,1,0
gene_124,0.79828084360706,0
gene_125,1,0
gene_126,1,0
gene_127,1,0
gene_128,1,0
gene_129,0.339052715693966,0
gene_13,3.52766152483379e-15,1
gene_130,1,0
gene_131,1,0
gene_132,1,0
gene_133,1,0
gene_134,1,0
gene_135,1,0
gene_136,1,0
gene_137,1,0
gene_138,0.303262316402499,0
gene_139,1,0
gene_14,3.52766152483379e-15,1
gene_140,1,0
gene_141,1,0
gene_142,1,0
gene_143,1,0
gene_144,1,0
gene_145,1,0
gene_146,1,0
gene_147,0.000135038947754234,0
gene_148,1,0
gene_149,1,0
gene_15,2.17043254066351e-15,1
gene_150,1,0
gene_151,1,0
gene_152,1,0
gene_153,1,0
gene_154,1,0
gene_155,1,0
gene_156,1,0
gene_157,0.530754875068416,0
gene_158,1,0
gene_159,1,0
gene_16,2.17043254066351e-15,1
gene_160,1,0
gene_161,0.56801404544244,0
gene_162,0.903877260209369,0
gene_163,1,0
gene_164,0.530754875068416,0
gene_165,0.267504881094002,0
gene_166,1,0
gene_167,0.88215342222001,0
gene_168,1,0
gene_169,0.537706548204836,0
gene_17,2.17043254066351e-15,1
gene_170,0.234403156562348,0
gene_171,1,0
gene_172,1,0
gene_173,1,0
gene_174,1,0
gene_175,0.0099175586572731,0
gene_176,0.88215342222001,0
gene_177,1,0
gene_178,1,0
gene_179,1,0
gene_18,3.52766152483379e-15,1
gene_180,1,0
gene_181,1,0
gene_182,1,0
gene_183,1,0
gene_184,1,0
gene_185,1,0
gene_186,1,0
gene_187,0.835961164912884,0
gene_188,1,0
gene_189,1,0
gene_19,2.17043254066351e-15,1
gene_190,1,0
gene_191,1,0
gene_192,1,0
gene_193,1,0
gene_194,1,0
gene_195,1,0
gene_196,1,0
gene_197,1,0
gene_198,1,0
gene_199,1,0
gene_2,3.52766152483379e-15,1
gene_20,2.17043254066351e-15,1
gene_200,1,0
gene_201,0.0204374923820908,0
gene_202,1,0
gene_203,1,0
gene_204,1,0
gene_205,0.08667480299984,0
gene_206,1,0
gene_207,1,0
gene_208,1,0
gene_209,0.00168266280116636,0
gene_21,2.17043254066351e-15,1
gene_210,1,0
gene_211,1,0
gene_212,1,0
gene_213,1,0
gene_214,1,0
gene_215,1,0
gene_216,1,0
gene_217,0.576356529746433,0
gene_218,1,0
gene_219,1,0
gene_22,2.17043254066351e-15,1
gene_220,1,0
gene_221,1,0
gene_222,1,0
gene_223,1,0
