,adjusted_pvalue,spatially_variable
gene_0,2.11617172714693e-15,1
gene_1,3.52766152483379e-15,1
gene_10,2.11617172714693e-15,1
gene_100,1,0
gene_101,1,0
gene_102,1,0
gene_103,1,0
gene_104,1,0
gene_105,1,0
gene_106,1,0
gene_107,1,0
gene_108,1,0
gene_109,1,0
gene_11,2.11617172714693e-15,1
gene_110,1,0
gene_111,1,0
gene_112,1,0
gene_113,0.0579663457845317,0
gene_114,1,0
gene_115,1,0
gene_116,1,0
gene_117,1,0
gene_118,1,0
gene_119,1,0
gene_12,2.11617172714693e-15,1
gene_120,1,0
gene_121,1,0
gene_122,0.711283524739786,0
gene_123,1,0
gene_124,0.730379226998011,0
gene_125,1,0
gene_126,1,0
gene_127,1,0
gene_128,1,0
gene_129,1,0
gene_13,3.52766152483379e-15,1
gene_130,1,0
gene_131,1,0
gene_132,1,0
gene_133,1,0
gene_134,1,0
gene_135,1,0
gene_136,1,0
gene_137,1,0
gene_138,1,0
gene_139,1,0
gene_14,2.11617172714693e-15,1
gene_140,1,0
gene_141,1,0
gene_142,1,0
gene_143,1,0
gene_144,1,0
gene_145,1,0
gene_146,1,0
gene_147,1,0
gene_148,1,0
gene_149,0.031145715224695,0
gene_15,2.11617172714693e-15,1
gene_150,1,0
gene_151,1,0
gene_152,1,0
gene_153,1,0
gene_154,1,0
gene_155,1,0
gene_156,1,0
gene_157,1,0
gene_158,1,0
gene_159,1,0
gene_16,2.11617172714693e-15,1
gene_160,1,0
gene_161,1,0
gene_162,1,0
gene_163,0.027244710429702,0
gene_164,0.625340122192652,0
gene_165,1,0
gene_166,1,0
gene_167,1,0
gene_168,1,0
gene_169,1,0
gene_17,2.11617172714693e-15,1
gene_170,1,0
gene_171,1,0
gene_172,1,0
gene_173,1,0
gene_174,1,0
gene_175,1,0
gene_176,0.309829288609353,0
gene_177,1,0
gene_178,1,0
gene_179,1,0
gene_18,2.11617172714693e-15,1
gene_180,1,0
gene_181,1,0
gene_182,1,0
gene_183,1,0
gene_184,1,0
gene_185,1,0
gene_186,0.984498621249016,0
gene_187,1,0
gene_188,0.313729702723591,0
gene_189,1,0
gene_19,2.11617172714693e-15,1
gene_190,1,0
gene_191,1,0
gene_192,0.0173869336845327,0
gene_193,1,0
gene_194,1,0
gene_195,1,0
gene_196,1,0
gene_197,1,0
gene_198,1,0
gene_199,1,0
gene_2,2.11617172714693e-15,1
gene_20,2.11617172714693e-15,1
gene_200,1,0
gene_201,1,0
gene_202,1,0
gene_203,1,0
gene_204,1,0
gene_205,1,0
gene_206,1,0
gene_207,1,0
gene_208,1,0
gene_209,1,0
gene_21,2.11617172714693e-15,1
gene_210,1,0
gene_211,1,0
gene_212,1,0
gene_213,1,0
gene_214,1,0
gene_215,1,0
gene_216,1,0
gene_217,1,0
gene_218,1,0
gene_219,1,0
gene_22,3.52766152483379e-15,1
gene_220,0.471943681619758,0
gene_221,1,0
gene_222,1,0
gene_223,0.265700864719238,0
gene_224,1,0
gene_225,1,0
gene_226,1,0
gene_227,1,0
gene_228,1,0
gene_229,1,0
gene_23,2.11617172714693e-15,1
gene_230,1,0
gene_231,1,0
gene_232,1,0
gene_233,1,0
gene_234,1,0
gene_235,1,0
gene_236,1,0
gene_237,1,0
gene_238,1,0
gene_239,1,0
gene_24,2.11617172714693e-15,1
gene_240,1,0
gene_241,1,0
gene_242,1,0
gene_243,1,0
gene_244,1,0
gene_245,1,0
gene_246,0.374932891846627,0
gene_247,0.171569790418418,0
gene_248,1,0
gene_249,1,0
gene_25,2.11617172714693e-15,1
gene_26,2.11617172714693e-15,1
gene_27,2.11617172714693e-15,1
gene_28,2.11617172714693e-15,1
gene_29,2.11617172714693e-15,1
gene_3,3.52766152483379e-15,1
gene_30,6.77311012768087e-15,1
gene_31,2.11617172714693e-15,1
gene_32,2.11617172714693e-15,1
gene_33,2.11617172714693e-15,1
gene_34,2.11617172714693e-15,1
gene_35,3.52766152483379e-15,1
gene_36,2.11617172714693e-15,1
gene_37,2.11617172714693e-15,1
gene_38,2.11617172714693e-15,1
gene_39,2.11617172714693e-15,1
gene_4,6.77311012768087e-15,1
gene_40,3.52766152483379e-15,1
gene_41,3.52766152483379e-15,1
gene_42,2.11617172714693e-15,1
gene_43,2.11617172714693e-15,1
gene_44,2.11617172714693e-15,1
gene_45,2.11617172714693e-15,1
gene_46,2.11617172714693e-15,1
gene_47,2.11617172714693e-15,1
gene_48,2.11617172714693e-15,1
gene_49,2.11617172714693e-15,1
gene_5,3.52766152483379e-15,1
gene_50,1,0
gene_51,0.134418091308821,0
gene_52,1,0
gene_53,0.144493631909425,0
gene_54,1,0
gene_55,1,0
gene_56,1,0
gene_57,1,0
gene_58,1,0
gene_59,1,0
gene_6,2.11617172714693e-15,1
gene_60,1,0
gene_61,1,0
gene_62,0.543960093934052,0
gene_63,1,0
gene_64,1,0
gene_65,1,0
gene_66,1,0
gene_67,1,0
gene_68,1,0
gene_69,1,0
gene_7,2.11617172714693e-15,1
gene_70,0.494724402219716,0
gene_71,1,0
gene_72,1,0
gene_73,1,0
gene_74,0.506249298844042,0
gene_75,1,0
gene_76,0.160621475779788,0
gene_77,1,0
gene_78,1,0
gene_79,1,0
gene_8,2.11617172714693e-15,1
gene_80,1,0
gene_81,1,0
gene_82,1,0
gene_83,1,0
gene_84,1,0
gene_85,1,0
gene_86,1,0
gene_87,1,0
gene_88,1,0
gene_89,1,0
gene_9,2.11617172714693e-15,1
gene_90,1,0
gene_91,1,0
gene_92,1,0
gene_93,1,0
gene_94,1,0
gene_95,1,0
gene_96,1,0
gene_97,1,0
gene_98,1,0
gene_99,1,0
