,adjusted_pvalue,spatially_variable
gene_0,2.4184819738822e-15,1
gene_1,3.76283895982271e-15,1
gene_2,6.77311012768087e-15,1
gene_3,2.4184819738822e-15,1
gene_4,2.4184819738822e-15,1
gene_5,2.4184819738822e-15,1
gene_6,2.4184819738822e-15,1
gene_7,2.4184819738822e-15,1
gene_8,2.4184819738822e-15,1
gene_9,2.4184819738822e-15,1
gene_10,2.4184819738822e-15,1
gene_11,2.4184819738822e-15,1
gene_12,2.4184819738822e-15,1
gene_13,2.4184819738822e-15,1
gene_14,3.76283895982271e-15,1
gene_15,2.4184819738822e-15,1
gene_16,3.76283895982271e-15,1
gene_17,2.4184819738822e-15,1
gene_18,2.4184819738822e-15,1
gene_19,2.4184819738822e-15,1
gene_20,3.76283895982271e-15,1
gene_21,2.4184819738822e-15,1
gene_22,2.4184819738822e-15,1
gene_23,2.4184819738822e-15,1
gene_24,3.76283895982271e-15,1
gene_25,2.4184819738822e-15,1
gene_26,3.76283895982271e-15,1
gene_27,6.77311012768087e-15,1
gene_28,2.4184819738822e-15,1
gene_29,2.4184819738822e-15,1
gene_30,2.4184819738822e-15,1
gene_31,2.4184819738822e-15,1
gene_32,3.76283895982271e-15,1
gene_33,2.4184819738822e-15,1
gene_34,6.77311012768087e-15,1
gene_35,2.4184819738822e-15,1
gene_36,2.4184819738822e-15,1
gene_37,6.77311012768087e-15,1
gene_38,3.76283895982271e-15,1
gene_39,2.4184819738822e-15,1
gene_40,3.76283895982271e-15,1
gene_41,2.4184819738822e-15,1
gene_42,2.4184819738822e-15,1
gene_43,2.4184819738822e-15,1
gene_44,2.4184819738822e-15,1
gene_45,2.4184819738822e-15,1
gene_46,3.76283895982271e-15,1
gene_47,6.77311012768087e-15,1
gene_48,2.4184819738822e-15,1
gene_49,2.4184819738822e-15,1
gene_50,0.203651302514124,0
gene_51,1,0
gene_52,1,0
gene_53,1,0
gene_54,1,0
gene_55,1,0
gene_56,1,0
gene_57,1,0
gene_58,1,0
gene_59,1,0
gene_60,1,0
gene_61,1,0
gene_62,1,0
gene_63,1,0
gene_64,1,0
gene_65,1,0
gene_66,1,0
gene_67,1,0
gene_68,1,0
gene_69,1,0
gene_70,1,0
gene_71,1,0
gene_72,1,0
gene_73,0.592486222720313,0
gene_74,1,0
gene_75,1,0
gene_76,1,0
gene_77,1,0
gene_78,1,0
gene_79,1,0
gene_80,1,0
gene_81,1,0
gene_82,0.877755635595085,0
gene_83,1,0
gene_84,1,0
gene_85,1,0
gene_86,1,0
gene_87,1,0
gene_88,1,0
gene_89,1,0
gene_90,1,0
gene_91,1,0
gene_92,0.524351719811902,0
gene_93,1,0
gene_94,1,0
gene_95,0.656264608473594,0
gene_96,1,0
gene_97,1,0
gene_98,1,0
gene_99,0.370544725559038,0
gene_100,1,0
gene_101,1,0
gene_102,1,0
gene_103,1,0
gene_104,1,0
gene_105,1,0
gene_106,1,0
gene_107,1,0
gene_108,1,0
gene_109,1,0
gene_110,1,0
gene_111,1,0
gene_112,1,0
gene_113,1,0
gene_114,1,0
gene_115,0.281318246700048,0
gene_116,0.79865736074917,0
gene_117,0.584361813127104,0
gene_118,1,0
gene_119,1,0
gene_120,0.784754809396498,0
gene_121,1,0
