,pvals_adj,spatially_variable
gene_0,7.639034108180834e-38,1
gene_1,4.401047746233004e-36,1
gene_2,1.1526271426072679e-11,1
gene_3,5.656426867458053e-65,1
gene_4,2.9969020737788845e-92,1
gene_5,3.146281761508409e-13,1
gene_6,1.615002975215956e-51,1
gene_7,2.866594885385965e-54,1
gene_8,2.208800588308446e-07,1
gene_9,3.3867055042042683e-130,1
gene_10,2.6701794871699477e-72,1
gene_11,6.121902055655223e-14,1
gene_12,2.6283979257687136e-47,1
gene_13,8.033360912436184e-55,1
gene_14,2.41653262227895e-08,1
gene_15,0.19319509194488932,1
gene_16,6.806985733728428e-21,1
gene_17,2.0469433474954766e-76,1
gene_18,6.911963143927491e-06,1
gene_19,2.6557053752762723e-44,1
gene_20,3.9133388617397614e-88,1
gene_21,9.238002790539897e-96,1
gene_22,9.446763309807434e-52,1
gene_23,9.840986250650016e-60,1
gene_24,1.8791788712434574e-08,1
gene_25,4.47608489449423e-95,1
gene_26,8.02398295181131e-18,1
gene_27,3.8980852453411456e-39,1
gene_28,3.5579796635755385e-45,1
gene_29,3.857452773162584e-20,1
gene_30,1.925699994623327e-66,1
gene_31,4.375525986006422e-47,1
gene_32,7.831552041812125e-42,1
gene_33,0.028805120320242197,1
gene_34,1.9493474519448487e-42,1
gene_35,2.1578441905638798e-91,1
gene_36,2.800452742370212e-09,1
gene_37,1.5915206717071638e-38,1
gene_38,1.5056378308553271e-46,1
gene_39,3.312743775693567e-19,1
gene_40,3.6236513759000796e-74,1
gene_41,2.2075574924113095e-84,1
gene_42,2.3710890269933142e-80,1
gene_43,1.4634153380517756e-21,1
gene_44,7.572923918783889e-23,1
gene_45,1.6151830389256402e-52,1
gene_46,3.041650595515679e-84,1
gene_47,7.332407765989964e-09,1
gene_48,4.9980619087478816e-82,1
gene_49,6.869700610078114e-39,1
gene_50,0.9123421155382839,0
gene_51,0.6845843053132843,0
gene_52,0.3315207225240197,0
gene_53,0.6837788244060168,0
gene_54,0.6072176655338041,0
gene_55,0.20158774847352356,0
gene_56,0.1054443303599322,0
gene_57,0.24663244170108725,0
gene_58,0.142694167529687,0
gene_59,0.5631440905093734,0
gene_60,0.40797763360214606,0
gene_61,0.06453856106339158,0
gene_62,0.45508582788852375,0
gene_63,0.21596105680441144,0
gene_64,0.2620421445112444,0
gene_65,0.29934586069710917,0
gene_66,0.38386124466414806,0
gene_67,0.40373706357446704,0
