,fdr,spatially_variable
gene_0,5.10204081632653e-29,1
gene_1,5.10204081632653e-29,1
gene_2,5.10204081632653e-29,1
gene_3,5.10204081632653e-29,1
gene_4,5.10204081632653e-29,1
gene_5,5.10204081632653e-29,1
gene_6,5.10204081632653e-29,1
gene_7,5.10204081632653e-29,1
gene_8,5.10204081632653e-29,1
gene_9,5.10204081632653e-29,1
gene_10,5.10204081632653e-29,1
gene_11,5.10204081632653e-29,1
gene_12,5.10204081632653e-29,1
gene_13,5.10204081632653e-29,1
gene_14,5.10204081632653e-29,1
gene_15,5.10204081632653e-29,1
gene_16,5.10204081632653e-29,1
gene_17,5.10204081632653e-29,1
gene_18,5.10204081632653e-29,1
gene_19,5.10204081632653e-29,1
gene_20,5.10204081632653e-29,1
gene_21,5.10204081632653e-29,1
gene_22,5.10204081632653e-29,1
gene_23,5.10204081632653e-29,1
gene_24,5.10204081632653e-29,1
gene_25,5.10204081632653e-29,1
gene_26,5.10204081632653e-29,1
gene_27,5.10204081632653e-29,1
gene_28,5.10204081632653e-29,1
gene_29,5.10204081632653e-29,1
gene_30,5.10204081632653e-29,1
gene_31,5.10204081632653e-29,1
gene_32,5.10204081632653e-29,1
gene_33,5.10204081632653e-29,1
gene_34,5.10204081632653e-29,1
gene_35,5.10204081632653e-29,1
gene_36,5.10204081632653e-29,1
gene_37,5.10204081632653e-29,1
gene_38,5.10204081632653e-29,1
gene_39,5.10204081632653e-29,1
gene_40,5.10204081632653e-29,1
gene_41,5.10204081632653e-29,1
gene_42,0.00015921379705463018,1
gene_43,5.10204081632653e-29,1
gene_44,5.10204081632653e-29,1
gene_45,5.10204081632653e-29,1
gene_46,5.10204081632653e-29,1
gene_47,5.10204081632653e-29,1
gene_48,5.10204081632653e-29,1
gene_49,5.10204081632653e-29,1
gene_50,0.011280367699239482,0
gene_51,0.0008670830066336199,0
gene_52,0.002369377902315818,0
gene_53,0.006623235941956598,0
gene_54,0.00048811738844065826,0
gene_55,0.013387162738963206,0
gene_56,0.0013261537379708076,0
gene_57,0.09325778029419217,0
gene_58,0.06970121747325979,0
gene_59,0.051435974901173444,0
gene_60,0.00044541550254634243,0
gene_61,0.009013710363881983,0
gene_62,0.017704254923101178,0
gene_63,0.0005940878984833368,0
gene_64,0.0010645509278992987,0
gene_65,0.0013261537379708076,0
gene_66,0.01740434957025097,0
gene_67,0.010041221263627864,0
gene_68,0.0001615044497496825,0
gene_69,0.0067536607542633366,0
gene_70,0.009663770891893362,0
gene_71,0.0004427156563632089,0
gene_72,0.013261365377017584,0
gene_73,0.0003414806193711157,0
gene_74,0.008329384718668979,0
gene_75,0.0056571244901475375,0
gene_76,0.46516312572772633,0
gene_77,0.012106058444780405,0
gene_78,0.006465087668090478,0
gene_79,0.027111185064466827,0
gene_80,0.022697686327149497,0
gene_81,0.005468753024112508,0
gene_82,0.48603287908613463,0
gene_83,0.056733045100722024,0
gene_84,0.003262438907195267,0
gene_85,0.00130187459469059,0
gene_86,0.027512045824578897,0
gene_87,0.004609792896209429,0
gene_88,0.03021073513497532,0
gene_89,0.01252316122466274,0
gene_90,0.02470819672706275,0
gene_91,0.001064432983129283,0
gene_92,0.001931530008594778,0
gene_93,0.48603287908613463,0
gene_94,0.002456199319598498,0
gene_95,0.0003095943570185815,0
gene_96,0.0006198554413286721,0
gene_97,0.013527893689258812,0
gene_98,0.015744062393991832,0
gene_99,0.006465087668090478,0
gene_100,0.027111185064466827,0
gene_101,0.00043200996632170377,0
gene_102,0.00572312683875994,0
gene_103,0.014271812012603911,0
gene_104,0.015588948132195855,0
gene_105,0.0019748635243769705,0
gene_106,0.013527893689258812,0
gene_107,0.07248628178552936,0
gene_108,0.014985249353571173,0
gene_109,0.025511631786389415,0
gene_110,0.03058982221765217,0
gene_111,0.005422190115338581,0
gene_112,0.006623235941956598,0
gene_113,0.007953670485517879,0
gene_114,0.0006803046887515564,0
gene_115,0.009663770891893362,0
gene_116,0.007898917483779086,0
gene_117,0.0011901106316283593,0
gene_118,0.0201077889846172,0
gene_119,0.014248895701009415,0
gene_120,0.07266772042689616,0
gene_121,0.017704254923101178,0
gene_122,0.022797919107449962,0
gene_123,0.003262438907195267,0
gene_124,0.0010042430660398356,0
gene_125,0.042537359902709515,0
gene_126,0.013090987885708349,0
gene_127,0.015993885893351104,0
gene_128,0.0407061051264523,0
gene_129,0.031195443495180768,0
gene_130,0.014985249353571173,0
gene_131,0.0395178000354303,0
gene_132,0.019943830115954412,0
gene_133,0.013147275821706468,0
gene_134,0.0020881370546798907,0
gene_135,0.024024017543408795,0
gene_136,0.003262438907195267,0
gene_137,0.010748551971058421,0
gene_138,0.0029974185975126804,0
gene_139,0.012159357672792637,0
gene_140,0.006623235941956598,0
gene_141,0.0003095943570185815,0
gene_142,0.005468753024112508,0
gene_143,0.10398790789635531,0
gene_144,0.003262438907195267,0
gene_145,0.007126145780054386,0
gene_146,0.013261365377017584,0
gene_147,0.0003041608505545376,0
gene_148,0.019674895649397686,0
gene_149,0.0006803046887515564,0
gene_150,0.042537359902709515,0
gene_151,0.02421567641488597,0
gene_152,0.05248339108677781,0
gene_153,0.01872558159863331,0
gene_154,0.002367993995570087,0
gene_155,0.0011901106316283593,0
gene_156,0.005938115849513469,0
gene_157,0.0019418153824525386,0
gene_158,0.008827697851649509,0
gene_159,0.0013360678377982358,0
gene_160,0.026902855249193402,0
gene_161,0.00043200996632170377,0
gene_162,0.00023864209199258367,0
gene_163,0.008379291868497432,0
gene_164,0.005243481267298906,0
gene_165,0.00038644831408439923,0
gene_166,0.5036996395924696,0
gene_167,0.03405492575498063,0
gene_168,0.007878858785884015,0
gene_169,0.0004233777091649699,0
gene_170,0.000527771121936559,0
gene_171,0.04205656649123079,0
gene_172,0.024024017543408795,0
gene_173,0.007252747282503348,0
gene_174,0.0495176557551269,0
gene_175,0.0021760477708427694,0
gene_176,0.01688178736987431,0
gene_177,0.007078451082085114,0
gene_178,0.0019418153824525386,0
gene_179,0.024024017543408795,0
gene_180,0.0024003202253610493,0
gene_181,0.007448380514902184,0
gene_182,0.007878858785884015,0
gene_183,0.014547550695357195,0
gene_184,0.020173624000275545,0
gene_185,0.0013740189281266678,0
gene_186,0.0013360678377982358,0
gene_187,3.0420435437348867e-05,0
gene_188,0.006395367223979381,0
gene_189,0.0013360678377982358,0
gene_190,0.006395367223979381,0
gene_191,0.010041221263627864,0
gene_192,0.006395367223979381,0
gene_193,0.0017051002227963777,0
gene_194,0.47581832741431873,0
gene_195,0.004228603546413068,0
gene_196,0.09469052354137063,0
gene_197,0.008329384718668979,0
gene_198,0.007534724573584994,0
gene_199,0.05369244988197915,0
gene_200,0.4998112020045,0
gene_201,0.002051670276589404,0
gene_202,0.02306057422862573,0
gene_203,0.024420266955094923,0
gene_204,0.014183007137269322,0
gene_205,0.0011901106316283593,0
gene_206,0.014248895701009415,0
gene_207,0.016801168144494505,0
gene_208,0.005488003562642978,0
gene_209,0.0004903593416024616,0
gene_210,0.48469236505069757,0
gene_211,0.0407061051264523,0
gene_212,0.014547550695357195,0
gene_213,0.017429779028713524,0
gene_214,0.019943830115954412,0
gene_215,0.007252747282503348,0
gene_216,0.18986555084751341,0
gene_217,0.0008470566999062481,0
gene_218,0.0044677809075903486,0
gene_219,0.007237515791733299,0
gene_220,0.001727604566832977,0
gene_221,0.003357270171181553,0
gene_222,0.02745790625363029,0
gene_223,0.006059436070520427,0
gene_224,0.020591802309748244,0
gene_225,0.012906642726754325,0
gene_226,0.008329384718668979,0
gene_227,0.004986357564874747,0
gene_228,0.003262438907195267,0
gene_229,0.011293880679707432,0
gene_230,0.044705056031074386,0
gene_231,0.002891089567144482,0
gene_232,0.009528871569981322,0
gene_233,0.003262438907195267,0
gene_234,0.0033229273845985564,0
gene_235,0.019943830115954412,0
gene_236,0.014547550695357195,0
gene_237,0.025511631786389415,0
gene_238,0.0395178000354303,0
gene_239,0.004970080171901046,0
gene_240,0.0006803046887515564,0
gene_241,0.4797742273561433,0
gene_242,0.010658617300043676,0
gene_243,0.494391156466718,0
gene_244,0.014043954640192039,0
gene_245,0.0001535581053336938,0
gene_246,0.05089627503434432,0
gene_247,0.01803994068553172,0
gene_248,0.0027289278444252137,0
gene_249,0.0034571607340144546,0
