,fdr,spatially_variable
gene_0,5.10204081632653e-29,1
gene_1,5.10204081632653e-29,1
gene_2,5.10204081632653e-29,1
gene_3,5.10204081632653e-29,1
gene_4,5.10204081632653e-29,1
gene_5,5.10204081632653e-29,1
gene_6,5.10204081632653e-29,1
gene_7,5.10204081632653e-29,1
gene_8,5.10204081632653e-29,1
gene_9,5.10204081632653e-29,1
gene_10,5.10204081632653e-29,1
gene_11,5.10204081632653e-29,1
gene_12,5.10204081632653e-29,1
gene_13,5.10204081632653e-29,1
gene_14,5.10204081632653e-29,1
gene_15,5.10204081632653e-29,1
gene_16,5.10204081632653e-29,1
gene_17,5.10204081632653e-29,1
gene_18,5.10204081632653e-29,1
gene_19,5.10204081632653e-29,1
gene_20,5.10204081632653e-29,1
gene_21,5.10204081632653e-29,1
gene_22,5.10204081632653e-29,1
gene_23,5.10204081632653e-29,1
gene_24,5.10204081632653e-29,1
gene_25,5.10204081632653e-29,1
gene_26,5.10204081632653e-29,1
gene_27,5.10204081632653e-29,1
gene_28,5.10204081632653e-29,1
gene_29,5.10204081632653e-29,1
gene_30,5.10204081632653e-29,1
gene_31,5.10204081632653e-29,1
gene_32,5.10204081632653e-29,1
gene_33,5.10204081632653e-29,1
gene_34,5.10204081632653e-29,1
gene_35,5.10204081632653e-29,1
gene_36,5.10204081632653e-29,1
gene_37,5.10204081632653e-29,1
gene_38,0.0006278804911113258,1
gene_39,5.10204081632653e-29,1
gene_40,5.10204081632653e-29,1
gene_41,5.10204081632653e-29,1
gene_42,5.10204081632653e-29,1
gene_43,5.10204081632653e-29,1
gene_44,5.10204081632653e-29,1
gene_45,5.10204081632653e-29,1
gene_46,5.10204081632653e-29,1
gene_47,5.10204081632653e-29,1
gene_48,5.10204081632653e-29,1
gene_49,5.10204081632653e-29,1
gene_50,0.021863629211928626,0
gene_51,0.02286331334159383,0
gene_52,0.0019362644919354716,0
gene_53,0.01359317313257865,0
gene_54,0.02367377450024244,0
gene_55,0.01297302990714331,0
gene_56,0.5057268497702958,0
gene_57,0.05191920479254137,0
gene_58,0.003609802460303731,0
gene_59,0.02367377450024244,0
gene_60,0.016824553549879925,0
gene_61,0.5057268497702958,0
gene_62,0.0009808755989802694,0
gene_63,0.008914801925303199,0
gene_64,0.019966115557557867,0
gene_65,0.0031772898071689656,0
gene_66,0.010829330848647557,0
gene_67,0.016014154810293967,0
gene_68,0.0035273673142853152,0
gene_69,0.0035273673142853152,0
gene_70,0.0006273993916503118,0
gene_71,0.003483963788893198,0
gene_72,0.028566542978667318,0
gene_73,0.0035273673142853152,0
gene_74,0.0026082190650400187,0
gene_75,0.06853768083692548,0
gene_76,0.5057268497702958,0
gene_77,0.014483759548130602,0
gene_78,0.0046421327895676085,0
gene_79,0.0035273673142853152,0
gene_80,0.0037220108446080866,0
gene_81,0.026910361595654356,0
gene_82,0.00914394718326196,0
gene_83,0.0035273673142853152,0
gene_84,0.0035273673142853152,0
gene_85,0.006310483146678834,0
gene_86,0.03327673343937382,0
gene_87,0.003374474895033021,0
gene_88,0.0230353290572429,0
gene_89,0.00740315743854,0
gene_90,0.004962070365035974,0
gene_91,0.0037959388858840957,0
gene_92,0.010187149288659053,0
gene_93,0.02415828998928627,0
gene_94,0.010829330848647557,0
gene_95,0.008914801925303199,0
gene_96,0.004142521796636843,0
gene_97,0.0035273673142853152,0
gene_98,0.03846385721461338,0
gene_99,0.010829330848647557,0
gene_100,0.5013258260094623,0
gene_101,0.001467910793112674,0
gene_102,0.007703562174776792,0
gene_103,0.45790755490290447,0
gene_104,0.022603479336726563,0
gene_105,0.0025103994747597957,0
gene_106,0.0042602585946979275,0
gene_107,0.00825952313863674,0
gene_108,0.003609802460303731,0
gene_109,0.002170165204472104,0
gene_110,0.5057268497702958,0
gene_111,0.007302211057258639,0
gene_112,0.00012320609349387353,0
gene_113,0.001392462769279233,0
gene_114,0.0027390876572295614,0
gene_115,0.028964787048034853,0
gene_116,0.008914801925303199,0
gene_117,0.05369732294499541,0
gene_118,0.00127340534309904,0
gene_119,0.014483759548130602,0
gene_120,0.0018534744423723414,0
gene_121,0.017922929356398082,0
gene_122,0.05369732294499541,0
gene_123,0.003943677695201563,0
gene_124,0.03871609656148143,0
gene_125,0.030055952224064705,0
gene_126,0.015399782293895771,0
gene_127,0.03613355952964777,0
gene_128,0.009708620068689706,0
gene_129,0.5203275862477633,0
gene_130,0.0036566517871715657,0
gene_131,0.005098980597930282,0
gene_132,0.01897880828276304,0
gene_133,0.003253787478073165,0
gene_134,0.04372141084494152,0
gene_135,0.5057268497702958,0
gene_136,0.00532446123717132,0
gene_137,0.007264864863138892,0
gene_138,0.05369732294499541,0
gene_139,0.0019310455617203301,0
gene_140,0.5057268497702958,0
gene_141,0.02064957040697852,0
gene_142,0.02757568044633411,0
gene_143,0.01633672419243946,0
gene_144,0.5057268497702958,0
gene_145,0.01050017962957139,0
gene_146,0.00954208813734261,0
gene_147,0.012588068657937518,0
gene_148,0.011522565086734172,0
gene_149,0.004265349811670508,0
gene_150,0.020794269436138314,0
gene_151,0.02862166664552333,0
gene_152,0.016673655269388674,0
gene_153,1.052652790133591e-05,0
gene_154,0.001963202313756202,0
gene_155,0.004687777057449158,0
gene_156,0.00305218733388578,0
gene_157,0.5057268497702958,0
gene_158,0.0035273673142853152,0
gene_159,0.0013590086015180436,0
gene_160,0.5057268497702958,0
gene_161,0.04373452169136162,0
gene_162,0.002790778342697401,0
gene_163,0.001158375880946144,0
gene_164,0.016951417166224274,0
gene_165,0.00782466536762257,0
gene_166,0.005835724212856726,0
gene_167,0.005334716716450538,0
gene_168,0.03489723476041591,0
gene_169,0.021128200118544906,0
gene_170,0.07959319555495448,0
gene_171,0.023247666912111577,0
gene_172,0.03036379719225824,0
gene_173,0.006323638217762538,0
gene_174,0.006288963905669677,0
gene_175,0.001083120264114786,0
gene_176,0.04210435299895701,0
gene_177,0.0002315712770705651,0
gene_178,0.045841464856566705,0
gene_179,0.006431805936319293,0
gene_180,0.006989618357603305,0
gene_181,0.04654804576568111,0
gene_182,0.010273952896170372,0
gene_183,0.028019780849637473,0
gene_184,0.07254190164407034,0
gene_185,0.5057268497702958,0
gene_186,0.029693466344140523,0
gene_187,0.03331661671205638,0
gene_188,0.006989618357603305,0
gene_189,0.02348907830883327,0
gene_190,0.0011786955002838146,0
gene_191,0.08997282576418046,0
gene_192,0.006670558397125953,0
gene_193,0.0031772898071689656,0
gene_194,0.002624719438946527,0
gene_195,0.0033112769184079054,0
gene_196,0.003943677695201563,0
gene_197,0.008914801925303199,0
gene_198,0.01050017962957139,0
gene_199,0.07852030138954777,0
gene_200,0.03156327948868195,0
gene_201,0.012714044045422281,0
gene_202,0.0025103994747597957,0
gene_203,0.009548279551223818,0
gene_204,0.504204683198769,0
gene_205,0.005271373442947031,0
gene_206,0.00028359580711591434,0
gene_207,0.11859254344897993,0
gene_208,0.0031772898071689656,0
gene_209,0.03754626216413178,0
gene_210,0.019009367363564848,0
gene_211,0.0035273673142853152,0
gene_212,0.01297302990714331,0
gene_213,0.003943677695201563,0
gene_214,0.006836152934736094,0
gene_215,0.033164016587123694,0
gene_216,0.0035273673142853152,0
gene_217,0.002272320518109193,0
gene_218,0.023753028893718237,0
gene_219,0.005078023730490897,0
gene_220,0.000996503773765937,0
gene_221,0.06996255197107822,0
gene_222,0.004687777057449158,0
gene_223,0.033595063847960495,0
gene_224,0.08707256726031747,0
gene_225,0.01633672419243946,0
gene_226,0.0017875116347980196,0
gene_227,0.005123234828232149,0
gene_228,0.0035273673142853152,0
gene_229,0.487496052052034,0
gene_230,1.856573197351791e-05,0
gene_231,0.0009612331302320328,0
gene_232,0.0046421327895676085,0
gene_233,0.006288963905669677,0
gene_234,0.5057268497702958,0
gene_235,0.001158375880946144,0
gene_236,0.0596711276725024,0
gene_237,0.01514182123115191,0
gene_238,0.4841221171524707,0
gene_239,0.002242487501358323,0
gene_240,0.018572343634090174,0
gene_241,0.49173066611695315,0
gene_242,0.005771481667177999,0
gene_243,0.028488905911801275,0
gene_244,0.020474745753726396,0
gene_245,0.012588068657937518,0
gene_246,0.09103891805731551,0
gene_247,0.005123234828232149,0
gene_248,0.0075572571643813605,0
gene_249,0.040935414538258864,0
