,fdr,spatially_variable
gene_0,4.9999999999999993e-29,1
gene_1,4.9999999999999993e-29,1
gene_2,4.9999999999999993e-29,1
gene_3,4.9999999999999993e-29,1
gene_4,4.9999999999999993e-29,1
gene_5,4.9999999999999993e-29,1
gene_6,4.9999999999999993e-29,1
gene_7,4.9999999999999993e-29,1
gene_8,4.9999999999999993e-29,1
gene_9,4.9999999999999993e-29,1
gene_10,4.9999999999999993e-29,1
gene_11,4.9999999999999993e-29,1
gene_12,4.9999999999999993e-29,1
gene_13,4.9999999999999993e-29,1
gene_14,4.9999999999999993e-29,1
gene_15,4.9999999999999993e-29,1
gene_16,4.9999999999999993e-29,1
gene_17,4.9999999999999993e-29,1
gene_18,4.9999999999999993e-29,1
gene_19,4.9999999999999993e-29,1
gene_20,4.9999999999999993e-29,1
gene_21,4.9999999999999993e-29,1
gene_22,4.9999999999999993e-29,1
gene_23,4.9999999999999993e-29,1
gene_24,4.9999999999999993e-29,1
gene_25,4.9999999999999993e-29,1
gene_26,4.9999999999999993e-29,1
gene_27,4.9999999999999993e-29,1
gene_28,4.9999999999999993e-29,1
gene_29,4.9999999999999993e-29,1
gene_30,4.9999999999999993e-29,1
gene_31,4.9999999999999993e-29,1
gene_32,4.9999999999999993e-29,1
gene_33,4.9999999999999993e-29,1
gene_34,4.9999999999999993e-29,1
gene_35,4.9999999999999993e-29,1
gene_36,4.9999999999999993e-29,1
gene_37,4.9999999999999993e-29,1
gene_38,4.9999999999999993e-29,1
gene_39,4.9999999999999993e-29,1
gene_40,4.9999999999999993e-29,1
gene_41,4.9999999999999993e-29,1
gene_42,4.9999999999999993e-29,1
gene_43,4.9999999999999993e-29,1
gene_44,4.9999999999999993e-29,1
gene_45,4.9999999999999993e-29,1
gene_46,4.9999999999999993e-29,1
gene_47,4.9999999999999993e-29,1
gene_48,4.9999999999999993e-29,1
gene_49,4.9999999999999993e-29,1
gene_50,0.022174009077614142,0
gene_51,0.010809967839001363,0
gene_52,0.015072383769514565,0
gene_53,0.00686463710153511,0
gene_54,0.07567482524947201,0
gene_55,0.004650034646919989,0
gene_56,0.007077676481364341,0
gene_57,0.004439430612658165,0
gene_58,0.5036699342410867,0
gene_59,0.0009565111285282756,0
gene_60,0.009441621994536447,0
gene_61,0.014226760448248573,0
gene_62,0.0013780206521270355,0
gene_63,0.01992381442370797,0
gene_64,0.027849339644898292,0
