,pval_sim_fdr_bh,spatially_variable
gene_0,0.03640069889341875,1
gene_1,0.03640069889341875,1
gene_2,0.03640069889341875,1
gene_3,0.03640069889341875,1
gene_4,0.03640069889341875,1
gene_5,0.03640069889341875,1
gene_6,0.03640069889341875,1
gene_7,0.03640069889341875,1
gene_8,0.03640069889341875,1
gene_9,0.03640069889341875,1
gene_10,0.03640069889341875,1
gene_11,0.03640069889341875,1
gene_12,0.03640069889341875,1
gene_13,0.03640069889341875,1
gene_14,0.03640069889341875,1
gene_15,0.03640069889341875,1
gene_16,0.03640069889341875,1
gene_17,0.03640069889341875,1
gene_18,0.03640069889341875,1
gene_19,0.03640069889341875,1
gene_20,0.03640069889341875,1
gene_21,0.03640069889341875,1
gene_22,0.03640069889341875,1
gene_23,0.03640069889341875,1
gene_24,0.03640069889341875,1
gene_25,0.03640069889341875,1
gene_26,0.03640069889341875,1
gene_27,0.03640069889341875,1
gene_28,0.03640069889341875,1
gene_29,0.03640069889341875,1
gene_30,0.03640069889341875,1
gene_31,0.03640069889341875,1
gene_32,0.03640069889341875,1
gene_33,0.03640069889341875,1
gene_34,0.03640069889341875,1
gene_35,0.03640069889341875,1
gene_36,0.03640069889341875,1
gene_37,0.03640069889341875,1
gene_38,0.03640069889341875,1
gene_39,0.03640069889341875,1
gene_40,0.03640069889341875,1
gene_41,0.03640069889341875,1
gene_42,0.03640069889341875,1
gene_43,0.03640069889341875,1
gene_44,0.03640069889341875,1
gene_45,0.03640069889341875,1
gene_46,0.03640069889341875,1
gene_47,0.03640069889341875,1
gene_48,0.03640069889341875,1
gene_49,0.03640069889341875,1
gene_50,0.3269194844012703,0
gene_51,0.060371890847621346,0
gene_52,0.1076194575979337,0
gene_53,0.060371890847621346,0
gene_54,0.4038561750911933,0
gene_55,0.3269194844012703,0
gene_56,0.43101325057878914,0
gene_57,0.16986992816928753,0
gene_58,0.08535336292249915,0
gene_59,0.17219113215669393,0
gene_60,0.43345348359720764,0
gene_61,0.12628813901798344,0
gene_62,0.03640069889341875,0
gene_63,0.3656615661566157,0
gene_64,0.4167508587593453,0
gene_65,0.4167508587593453,0
gene_66,0.17219113215669393,0
gene_67,0.12628813901798344,0
gene_68,0.3557241951740084,0
gene_69,0.3557241951740084,0
gene_70,0.03640069889341875,0
gene_71,0.17219113215669393,0
gene_72,0.060371890847621346,0
gene_73,0.43345348359720764,0
gene_74,0.43345348359720764,0
gene_75,0.4614868266487666,0
gene_76,0.27695077200027696,0
gene_77,0.46800898577252686,0
gene_78,0.41254125412541254,0
gene_79,0.43345348359720764,0
gene_80,0.504950495049505,0
gene_81,0.3492680556399198,0
gene_82,0.42504250425042506,0
gene_83,0.060371890847621346,0
gene_84,0.3269194844012703,0
gene_85,0.24013595389389683,0
gene_86,0.4744224422442245,0
gene_87,0.43345348359720764,0
gene_88,0.44399058739954717,0
gene_89,0.4614868266487666,0
gene_90,0.060371890847621346,0
gene_91,0.17219113215669393,0
gene_92,0.21106761838974594,0
gene_93,0.24013595389389683,0
gene_94,0.3656615661566157,0
gene_95,0.3557241951740084,0
gene_96,0.2633242047609016,0
gene_97,0.2633242047609016,0
gene_98,0.32356176794150004,0
gene_99,0.27695077200027696,0
gene_100,0.2633242047609016,0
gene_101,0.060371890847621346,0
gene_102,0.3656615661566157,0
gene_103,0.03640069889341875,0
gene_104,0.43101325057878914,0
gene_105,0.19801980198019803,0
gene_106,0.4869339392955689,0
gene_107,0.30104361787530104,0
gene_108,0.4038561750911933,0
gene_109,0.03640069889341875,0
gene_110,0.17219113215669393,0
gene_111,0.12628813901798344,0
gene_112,0.21106761838974594,0
gene_113,0.30104361787530104,0
gene_114,0.12628813901798344,0
gene_115,0.1076194575979337,0
gene_116,0.4387938793879388,0
gene_117,0.43345348359720764,0
gene_118,0.1470444074110381,0
gene_119,0.3269194844012703,0
gene_120,0.4600017523876281,0
gene_121,0.03640069889341875,0
gene_122,0.49904183966783777,0
gene_123,0.30104361787530104,0
gene_124,0.1076194575979337,0
gene_125,0.18564356435643564,0
gene_126,0.43345348359720764,0
gene_127,0.4387938793879388,0
gene_128,0.060371890847621346,0
gene_129,0.1076194575979337,0
gene_130,0.3829112192987255,0
gene_131,0.37336135848221697,0
gene_132,0.3656615661566157,0
gene_133,0.18564356435643564,0
gene_134,0.060371890847621346,0
gene_135,0.17219113215669393,0
gene_136,0.4614868266487666,0
gene_137,0.4530586987270156,0
gene_138,0.3269194844012703,0
gene_139,0.03640069889341875,0
gene_140,0.43345348359720764,0
gene_141,0.2633242047609016,0
gene_142,0.2633242047609016,0
gene_143,0.44399058739954717,0
gene_144,0.43345348359720764,0
gene_145,0.03640069889341875,0
gene_146,0.1470444074110381,0
gene_147,0.19801980198019803,0
gene_148,0.3361447255836695,0
gene_149,0.25480489225393127,0
gene_150,0.43345348359720764,0
gene_151,0.31353135313531355,0
gene_152,0.08535336292249915,0
