,adjustedPval,spatially_variable
gene_0,3.63658942493697e-50,1
gene_1,3.78690686347566e-50,1
gene_2,1.34311161871639e-149,1
gene_3,1.28354996162988e-44,1
gene_4,1.25391050426596e-28,1
gene_5,1.40573265353141e-261,1
gene_6,2.19175291520307e-71,1
gene_7,1.69529148759947e-97,1
gene_8,3.0336276264583e-113,1
gene_9,2.27708931695286e-18,1
gene_10,7.58125736682694e-282,1
gene_11,3.23090666757057e-52,1
gene_12,6.84540730165085e-182,1
gene_13,6.85441403153531e-69,1
gene_14,1.21854113831778e-05,1
gene_15,2.86490295586188e-17,1
gene_16,2.22547126671227e-27,1
gene_17,7.23245769873275e-117,1
gene_18,8.40686169242512e-90,1
gene_19,6.38386455910937e-246,1
gene_20,4.45193639796151e-200,1
gene_21,4.04383893297231e-66,1
gene_22,5.19669457211321e-62,1
gene_23,6.20602364425574e-56,1
gene_24,4.90826616878217e-15,1
gene_25,1.8239239471922e-95,1
gene_26,6.74945234373883e-134,1
gene_27,2.68203732153006e-66,1
gene_28,1.92900022174233e-81,1
gene_29,2.51175137605899e-141,1
gene_30,2.51578592094049e-17,1
gene_31,6.12462086013696e-13,1
gene_32,2.26591135867363e-35,1
gene_33,9.35735172046635e-18,1
gene_34,1.8272078284898e-108,1
gene_35,1.46277437047403e-36,1
gene_36,1.93188419199942e-130,1
gene_37,4.89619042879976e-234,1
gene_38,2.87729402223427e-21,1
gene_39,1.5067669271937e-120,1
gene_40,9.78882197149196e-152,1
gene_41,2.25428655225364e-38,1
gene_42,1.16044547067107e-117,1
gene_43,8.36947555117388e-127,1
gene_44,1.78350122195666e-77,1
gene_45,2.19660621345782e-07,1
gene_46,7.23245769873275e-117,1
gene_47,5.85440132347113e-122,1
gene_48,9.97626347990981e-08,1
gene_49,1.95662550352954e-96,1
gene_50,1,0
gene_51,1,0
gene_52,1,0
gene_53,1,0
gene_54,1,0
gene_55,1,0
gene_56,1,0
gene_57,1,0
gene_58,1,0
gene_59,1,0
gene_60,1,0
gene_61,1,0
gene_62,1,0
gene_63,1,0
gene_64,1,0
gene_65,1,0
gene_66,1,0
gene_67,1,0
gene_68,1,0
gene_69,1,0
gene_70,1,0
gene_71,1,0
gene_72,1,0
gene_73,1,0
gene_74,1,0
gene_75,1,0
gene_76,1,0
gene_77,1,0
gene_78,1,0
gene_79,1,0
gene_80,1,0
gene_81,1,0
gene_82,1,0
gene_83,1,0
gene_84,1,0
gene_85,1,0
gene_86,1,0
gene_87,1,0
gene_88,1,0
gene_89,1,0
gene_90,0.153949214278251,0
gene_91,1,0
gene_92,1,0
gene_93,1,0
gene_94,1,0
gene_95,1,0
gene_96,1,0
gene_97,1,0
gene_98,1,0
gene_99,1,0
gene_100,1,0
gene_101,1,0
gene_102,1,0
gene_103,1,0
gene_104,1,0
gene_105,1,0
gene_106,1,0
gene_107,1,0
gene_108,0.248979182253905,0
gene_109,1,0
gene_110,1,0
gene_111,0.598461972806362,0
gene_112,1,0
gene_113,1,0
gene_114,1,0
gene_115,1,0
gene_116,1,0
gene_117,1,0
gene_118,1,0
gene_119,1,0
gene_120,1,0
gene_121,1,0
gene_122,1,0
gene_123,1,0
gene_124,1,0
gene_125,0.629519447989038,0
gene_126,1,0
gene_127,0.724216785227939,0
gene_128,1,0
gene_129,1,0
gene_130,1,0
gene_131,1,0
gene_132,1,0
gene_133,1,0
gene_134,1,0
gene_135,1,0
gene_136,1,0
gene_137,1,0
gene_138,1,0
gene_139,1,0
gene_140,1,0
gene_141,1,0
gene_142,1,0
gene_143,1,0
gene_144,1,0
gene_145,1,0
gene_146,1,0
gene_147,1,0
gene_148,1,0
gene_149,1,0
gene_150,1,0
gene_151,1,0
gene_152,1,0
gene_153,1,0
gene_154,1,0
gene_155,1,0
gene_156,1,0
gene_157,1,0
gene_158,1,0
gene_159,1,0
gene_160,1,0
gene_161,1,0
gene_162,1,0
gene_163,1,0
gene_164,1,0
gene_165,1,0
gene_166,1,0
gene_167,1,0
gene_168,1,0
gene_169,1,0
gene_170,1,0
gene_171,1,0
gene_172,1,0
gene_173,1,0
gene_174,1,0
gene_175,1,0
gene_176,1,0
gene_177,1,0
gene_178,1,0
gene_179,1,0
gene_180,1,0
gene_181,1,0
gene_182,1,0
gene_183,1,0
gene_184,1,0
gene_185,1,0
gene_186,1,0
gene_187,1,0
gene_188,1,0
gene_189,0.930054624239547,0
gene_190,1,0
gene_191,1,0
gene_192,1,0
gene_193,1,0
gene_194,1,0
gene_195,1,0
gene_196,1,0
gene_197,1,0
gene_198,1,0
gene_199,1,0
gene_200,1,0
gene_201,1,0
gene_202,1,0
gene_203,1,0
gene_204,1,0
gene_205,1,0
gene_206,1,0
gene_207,1,0
gene_208,1,0
gene_209,1,0
gene_210,1,0
gene_211,1,0
gene_212,1,0
gene_213,1,0
gene_214,1,0
gene_215,1,0
gene_216,0.751523544695197,0
gene_217,1,0
gene_218,1,0
gene_219,1,0
gene_220,1,0
gene_221,1,0
gene_222,1,0
gene_223,1,0
gene_224,1,0
gene_225,1,0
gene_226,1,0
gene_227,1,0
gene_228,1,0
gene_229,1,0
gene_230,1,0
gene_231,1,0
gene_232,0.207354008069361,0
gene_233,1,0
gene_234,1,0
gene_235,1,0
gene_236,1,0
gene_237,1,0
gene_238,1,0
gene_239,1,0
gene_240,1,0
gene_241,1,0
gene_242,1,0
gene_243,1,0
gene_244,1,0
gene_245,1,0
gene_246,1,0
gene_247,1,0
gene_248,1,0
gene_249,0.50497736199337,0
