,adjustedPval,spatially_variable
gene_0,3.95905002506446e-19,1
gene_1,1.11348369610476e-152,1
gene_2,1.95221609053421e-66,1
gene_3,1.05709547931914e-159,1
gene_4,2.69804877630668e-38,1
gene_5,1.09340471784837e-140,1
gene_6,6.19755351256287e-07,1
gene_7,1.19414515052666e-170,1
gene_8,2.14019088991427e-25,1
gene_9,1.79420290770451e-54,1
gene_10,2.95394912790791e-117,1
gene_11,4.06789952375403e-70,1
gene_12,5.43156915323472e-16,1
gene_13,1.69185091522982e-52,1
gene_14,1.53499232674532e-68,1
gene_15,2.15267433206423e-155,1
gene_16,4.67381693648035e-40,1
gene_17,1.52661057430784e-07,1
gene_18,1.53670162083066e-106,1
gene_19,1.21563216145772e-11,1
gene_20,5.52852331425928e-42,1
gene_21,2.15267433206423e-155,1
gene_22,2.13135058923427e-66,1
gene_23,1.03725433473618e-296,1
gene_24,6.35054580233195e-41,1
gene_25,4.40117065349203e-54,1
gene_26,7.95872926262007e-32,1
gene_27,1.46791963163048e-199,1
gene_28,1.71388971217424e-53,1
gene_29,5.17123372112051e-77,1
gene_30,1.29968469961556e-19,1
gene_31,1.48547086484973e-29,1
gene_32,1.03945219229629e-33,1
gene_33,4.36275220461903e-57,1
gene_34,1.71392475715449e-22,1
gene_35,9.85709434051121e-51,1
gene_36,2.72011086711701e-158,1
gene_37,1.78674306219301e-64,1
gene_38,8.59753786065975e-42,1
gene_39,9.11375781703592e-104,1
gene_40,2.43639558026572e-301,1
gene_41,1.087040862946e-35,1
gene_42,1.19709393845751e-72,1
gene_43,2.33687249107905e-43,1
gene_44,7.15577215854654e-67,1
gene_45,1.90725392260011e-32,1
gene_46,6.83814329463241e-89,1
gene_47,3.48017804089539e-304,1
gene_48,1.22980979002464e-109,1
gene_49,1.63631745705234e-130,1
gene_50,1,0
gene_51,1,0
gene_52,1,0
gene_53,1,0
gene_54,1,0
gene_55,1,0
gene_56,1,0
gene_57,1,0
gene_58,1,0
gene_59,1,0
gene_60,1,0
gene_61,1,0
gene_62,1,0
gene_63,1,0
gene_64,1,0
gene_65,1,0
gene_66,1,0
gene_67,1,0
gene_68,1,0
gene_69,1,0
gene_70,1,0
gene_71,1,0
gene_72,1,0
gene_73,1,0
gene_74,1,0
gene_75,1,0
gene_76,1,0
gene_77,1,0
gene_78,1,0
gene_79,1,0
gene_80,0.208602193108121,0
gene_81,1,0
gene_82,1,0
gene_83,1,0
gene_84,1,0
gene_85,1,0
gene_86,1,0
gene_87,1,0
gene_88,1,0
gene_89,1,0
gene_90,1,0
gene_91,1,0
gene_92,1,0
gene_93,1,0
gene_94,1,0
gene_95,1,0
gene_96,1,0
gene_97,1,0
gene_98,1,0
gene_99,1,0
gene_100,1,0
gene_101,1,0
gene_102,1,0
gene_103,1,0
gene_104,1,0
gene_105,1,0
gene_106,1,0
gene_107,1,0
gene_108,1,0
gene_109,1,0
gene_110,1,0
gene_111,1,0
gene_112,1,0
gene_113,1,0
gene_114,1,0
gene_115,1,0
gene_116,1,0
gene_117,1,0
gene_118,1,0
gene_119,1,0
gene_120,1,0
gene_121,1,0
gene_122,1,0
gene_123,1,0
gene_124,1,0
gene_125,1,0
gene_126,1,0
gene_127,1,0
gene_128,1,0
gene_129,0.847428091552766,0
gene_130,1,0
gene_131,1,0
gene_132,1,0
gene_133,1,0
gene_134,1,0
gene_135,1,0
gene_136,1,0
gene_137,1,0
gene_138,1,0
gene_139,1,0
gene_140,1,0
gene_141,1,0
gene_142,1,0
gene_143,1,0
gene_144,1,0
gene_145,1,0
gene_146,1,0
gene_147,1,0
gene_148,1,0
gene_149,1,0
gene_150,1,0
gene_151,1,0
gene_152,1,0
gene_153,1,0
gene_154,1,0
gene_155,1,0
gene_156,1,0
gene_157,1,0
gene_158,1,0
gene_159,1,0
gene_160,0.564867822787489,0
gene_161,1,0
gene_162,1,0
gene_163,1,0
gene_164,1,0
gene_165,1,0
gene_166,1,0
gene_167,0.949633533868758,0
gene_168,1,0
gene_169,1,0
gene_170,1,0
gene_171,1,0
gene_172,1,0
gene_173,1,0
gene_174,1,0
gene_175,0.554444060575831,0
gene_176,1,0
gene_177,1,0
gene_178,1,0
gene_179,1,0
gene_180,1,0
gene_181,1,0
gene_182,1,0
gene_183,1,0
gene_184,1,0
gene_185,1,0
gene_186,1,0
gene_187,1,0
gene_188,1,0
gene_189,1,0
gene_190,1,0
gene_191,1,0
gene_192,1,0
gene_193,1,0
gene_194,1,0
gene_195,1,0
gene_196,1,0
gene_197,1,0
gene_198,1,0
gene_199,1,0
gene_200,1,0
gene_201,1,0
gene_202,1,0
gene_203,1,0
gene_204,1,0
gene_205,1,0
gene_206,1,0
gene_207,1,0
gene_208,1,0
gene_209,1,0
gene_210,1,0
gene_211,1,0
gene_212,1,0
gene_213,1,0
gene_214,1,0
gene_215,1,0
gene_216,1,0
gene_217,1,0
gene_218,1,0
gene_219,1,0
gene_220,1,0
gene_221,1,0
gene_222,1,0
gene_223,1,0
gene_224,1,0
gene_225,1,0
gene_226,1,0
gene_227,1,0
gene_228,1,0
gene_229,1,0
gene_230,1,0
gene_231,1,0
gene_232,1,0
gene_233,1,0
gene_234,1,0
gene_235,1,0
gene_236,1,0
gene_237,0.0649032468954877,0
gene_238,1,0
gene_239,1,0
gene_240,1,0
gene_241,1,0
gene_242,1,0
gene_243,1,0
gene_244,1,0
gene_245,1,0
gene_246,0.456693006908804,0
gene_247,1,0
gene_248,1,0
gene_249,0.733124555960252,0
