,pvals_adj,spatially_variable
gene_0,2.7542897488721876e-59,1
gene_1,6.203074859030468e-22,1
gene_2,0.8745550521548794,1
gene_3,2.1087561393132076e-53,1
gene_4,2.6604372131688343e-13,1
gene_5,6.41651183344897e-12,1
gene_6,5.5541695229024885e-06,1
gene_7,9.629452517618911e-86,1
gene_8,5.399480078377085e-97,1
gene_9,1.0307680547407795e-21,1
gene_10,0.0048378179191928905,1
gene_11,2.0049484094390407e-43,1
gene_12,9.793517119738881e-74,1
gene_13,1.091250785847053e-20,1
gene_14,3.304429382197697e-52,1
gene_15,9.971031491712373e-21,1
gene_16,0.07972713050962513,1
gene_17,0.00012888868735900851,1
gene_18,7.067137204546986e-13,1
gene_19,3.61251362890327e-23,1
gene_20,1.554709141522485e-101,1
gene_21,3.71537384987897e-49,1
gene_22,9.37301281464524e-07,1
gene_23,2.7277910159750704e-97,1
gene_24,5.806320880114609e-60,1
gene_25,3.530895727786481e-68,1
gene_26,3.2889700737879544e-25,1
gene_27,3.2418854391362698e-24,1
gene_28,1.1307901004503944e-84,1
gene_29,2.5110808338620825e-09,1
gene_30,1.0826676281777064e-65,1
gene_31,3.5394618224288996e-13,1
gene_32,0.04354085444851197,1
gene_33,2.58689982553146e-20,1
gene_34,1.4899453881775902e-21,1
gene_35,2.1382013873488393e-15,1
gene_36,2.7099336936056857e-56,1
gene_37,7.053743933724555e-11,1
gene_38,5.49522961132049e-10,1
gene_39,1.7251166169533336e-42,1
gene_40,1.1150905259021478e-07,1
gene_41,4.566675888518537e-68,1
gene_42,5.854937521436509e-66,1
gene_43,2.6775098894270994e-06,1
gene_44,1.9854036283522184e-38,1
gene_45,1.0577984793618197e-76,1
gene_46,2.539724426115431e-41,1
gene_47,3.8226567337525555e-36,1
gene_48,6.992091883521004e-09,1
gene_49,2.857163521508453e-95,1
gene_50,0.420232749082081,0
gene_51,0.6754045520460097,0
gene_52,0.06662557498969413,0
gene_53,0.09432015263444571,0
gene_54,0.18400625173165103,0
gene_55,0.6242279473989001,0
gene_56,0.17434070612813968,0
gene_57,0.657015665132828,0
gene_58,0.809688117961803,0
gene_59,0.38425812737408716,0
gene_60,0.7086886921254442,0
gene_61,0.748652864477874,0
gene_62,0.512381949196965,0
gene_63,0.05711459765702309,0
gene_64,0.6486260484904681,0
gene_65,0.5369029363944189,0
gene_66,0.8920092271597589,0
gene_67,0.2594426902085127,0
gene_68,0.9600164686839727,0
gene_69,0.49861643695806557,0
gene_70,0.3032819107469188,0
gene_71,0.12648942026257584,0
gene_72,0.0007883172417413126,0
gene_73,0.38951496642298344,0
gene_74,0.08927932417757738,0
gene_75,0.488694036064708,0
gene_76,0.8745550521548794,0
gene_77,0.378979232861895,0
gene_78,0.4716594039549312,0
gene_79,0.8648760686405382,0
gene_80,0.8745550521548794,0
gene_81,0.2832541798166663,0
gene_82,0.0013079936755823795,0
gene_83,0.23088055215481867,0
gene_84,0.6486260484904681,0
gene_85,0.8095754876927976,0
gene_86,0.5791888337862044,0
gene_87,0.6486260484904681,0
gene_88,0.4935839150352888,0
gene_89,0.4325643674375837,0
gene_90,0.828124741604073,0
gene_91,0.28698698900178415,0
gene_92,0.3032819107469188,0
gene_93,0.18400625173165103,0
gene_94,0.8451480309425027,0
gene_95,0.5231934658169615,0
gene_96,0.18906482114643974,0
gene_97,0.775844044222244,0
gene_98,0.07862627501982146,0
gene_99,0.8451480309425027,0
gene_100,0.8095754876927976,0
gene_101,0.38060187677462726,0
gene_102,0.7946648834984489,0
gene_103,0.7849481953762548,0
gene_104,0.521218517526288,0
gene_105,0.488694036064708,0
gene_106,0.828124741604073,0
gene_107,0.49861643695806557,0
gene_108,0.1450062418698518,0
gene_109,0.31175239403245186,0
gene_110,0.051386650187171014,0
gene_111,0.9355499799676651,0
gene_112,0.46305273041261524,0
gene_113,0.02101955913285062,0
gene_114,0.48818726797251205,0
gene_115,0.34704871075881605,0
gene_116,3.4796213152820993e-06,0
gene_117,0.8451480309425027,0
gene_118,0.8095754876927976,0
gene_119,0.2127542400994797,0
gene_120,0.00024875002411438605,0
gene_121,0.6486260484904681,0
gene_122,0.9819604193012614,0
gene_123,0.8691952824798901,0
gene_124,0.5755220920649259,0
gene_125,0.8691952824798901,0
gene_126,0.7570109072402873,0
gene_127,0.4014790050172136,0
gene_128,0.420232749082081,0
gene_129,0.3819235829363021,0
gene_130,0.7317092563660059,0
gene_131,0.09432015263444571,0
gene_132,0.8563571472732704,0
gene_133,0.6486260484904681,0
gene_134,0.587631330954295,0
gene_135,0.3833277818569357,0
gene_136,0.8745550521548794,0
gene_137,0.46305273041261524,0
gene_138,0.38030594511319116,0
gene_139,0.8745550521548794,0
gene_140,0.8492013905259744,0
gene_141,0.3838879814390026,0
gene_142,0.6805965671988558,0
gene_143,0.4964360652202201,0
gene_144,0.6486260484904681,0
gene_145,0.8095754876927976,0
gene_146,0.6832192330780826,0
gene_147,0.657015665132828,0
gene_148,0.551702480455127,0
gene_149,0.8920092271597589,0
gene_150,6.126111002403277e-05,0
gene_151,0.2830138764197025,0
gene_152,0.23088055215481867,0
gene_153,0.034760665132369556,0
gene_154,0.9793574961532877,0
gene_155,0.4935839150352888,0
gene_156,0.6805965671988558,0
gene_157,0.22199570851333764,0
gene_158,0.828124741604073,0
gene_159,0.034760665132369556,0
gene_160,0.6886064991316838,0
gene_161,0.378979232861895,0
gene_162,0.6976374023678212,0
gene_163,0.733250786566176,0
gene_164,0.5791888337862044,0
gene_165,0.7570109072402873,0
gene_166,0.4041407604293452,0
gene_167,0.6453129127716392,0
gene_168,0.6486260484904681,0
gene_169,0.4030166800160812,0
gene_170,0.828124741604073,0
gene_171,0.828124741604073,0
gene_172,0.48818726797251205,0
gene_173,0.2832541798166663,0
gene_174,0.828124741604073,0
gene_175,0.38676286033735846,0
gene_176,0.8781684446335232,0
gene_177,0.7331146599529879,0
gene_178,0.8691952824798901,0
gene_179,0.8512184806702372,0
gene_180,0.4964360652202201,0
gene_181,0.026904397427023215,0
gene_182,0.11179434731020592,0
gene_183,0.6828772165049217,0
gene_184,0.8751166371693172,0
gene_185,0.573090650167411,0
gene_186,0.21214539891464315,0
gene_187,0.5371398580531663,0
gene_188,0.7750295923542078,0
gene_189,0.657015665132828,0
gene_190,0.5231934658169615,0
gene_191,0.7393467873616507,0
gene_192,0.012136550230774035,0
gene_193,0.5016347314846554,0
gene_194,0.2797091626077053,0
gene_195,0.7750295923542078,0
gene_196,0.7171463055861417,0
gene_197,0.000237950654057117,0
gene_198,0.5197256889656738,0
gene_199,0.19407401728684268,0
gene_200,0.7814016858971463,0
gene_201,0.4041407604293452,0
gene_202,0.19050523843232917,0
gene_203,0.6486260484904681,0
gene_204,0.4009822437902033,0
gene_205,0.38030594511319116,0
gene_206,0.39651132649064563,0
gene_207,0.39651132649064563,0
gene_208,0.6805965671988558,0
gene_209,0.38676286033735846,0
gene_210,0.38676286033735846,0
gene_211,0.16691621393730163,0
gene_212,0.7171463055861417,0
gene_213,0.8451480309425027,0
gene_214,0.2195104465514782,0
gene_215,0.6486260484904681,0
gene_216,0.46305273041261524,0
gene_217,0.2802049832840885,0
gene_218,0.3452415702571892,0
gene_219,0.6486260484904681,0
gene_220,0.48818726797251205,0
gene_221,0.420232749082081,0
