,adjusted_pvalue,spatially_variable
gene_0,2.22754918647045e-15,1
gene_1,2.22754918647045e-15,1
gene_2,3.60271815302174e-15,1
gene_3,2.22754918647045e-15,1
gene_4,2.22754918647045e-15,1
gene_5,2.22754918647045e-15,1
gene_6,2.22754918647045e-15,1
gene_7,2.22754918647045e-15,1
gene_8,2.22754918647045e-15,1
gene_9,2.22754918647045e-15,1
gene_10,2.22754918647045e-15,1
gene_11,2.22754918647045e-15,1
gene_12,2.22754918647045e-15,1
gene_13,2.22754918647045e-15,1
gene_14,3.60271815302174e-15,1
gene_15,2.22754918647045e-15,1
gene_16,3.60271815302174e-15,1
gene_17,2.22754918647045e-15,1
gene_18,2.22754918647045e-15,1
gene_19,2.22754918647045e-15,1
gene_20,3.60271815302174e-15,1
gene_21,2.22754918647045e-15,1
gene_22,2.22754918647045e-15,1
gene_23,2.22754918647045e-15,1
gene_24,2.22754918647045e-15,1
gene_25,2.22754918647045e-15,1
gene_26,3.60271815302174e-15,1
gene_27,6.77311012768087e-15,1
gene_28,2.22754918647045e-15,1
gene_29,2.22754918647045e-15,1
gene_30,2.22754918647045e-15,1
gene_31,2.22754918647045e-15,1
gene_32,3.60271815302174e-15,1
gene_33,2.22754918647045e-15,1
gene_34,6.77311012768087e-15,1
gene_35,2.22754918647045e-15,1
gene_36,2.22754918647045e-15,1
gene_37,3.60271815302174e-15,1
gene_38,3.60271815302174e-15,1
gene_39,2.22754918647045e-15,1
gene_40,2.22754918647045e-15,1
gene_41,2.22754918647045e-15,1
gene_42,2.22754918647045e-15,1
gene_43,2.22754918647045e-15,1
gene_44,2.22754918647045e-15,1
gene_45,2.22754918647045e-15,1
gene_46,3.60271815302174e-15,1
gene_47,6.77311012768087e-15,1
gene_48,2.22754918647045e-15,1
gene_49,2.22754918647045e-15,1
gene_50,1,0
gene_51,1,0
gene_52,1,0
gene_53,1,0
gene_54,1,0
gene_55,1,0
gene_56,0.904530806096955,0
gene_57,1,0
gene_58,1,0
gene_59,1,0
gene_60,1,0
gene_61,1,0
gene_62,1,0
gene_63,1,0
gene_64,1,0
gene_65,1,0
gene_66,0.385709768933918,0
gene_67,1,0
gene_68,1,0
gene_69,0.324893579046362,0
gene_70,1,0
gene_71,1,0
gene_72,1,0
gene_73,0.561522278236641,0
gene_74,1,0
gene_75,1,0
gene_76,1,0
gene_77,1,0
gene_78,1,0
gene_79,1,0
gene_80,1,0
gene_81,1,0
gene_82,1,0
gene_83,1,0
gene_84,1,0
gene_85,1,0
gene_86,1,0
