,pval_sim_fdr_bh,spatially_variable
gene_0,0.03300330033003301,1
gene_1,0.03300330033003301,1
gene_2,0.03300330033003301,1
gene_3,0.03300330033003301,1
gene_4,0.03300330033003301,1
gene_5,0.03300330033003301,1
gene_6,0.03300330033003301,1
gene_7,0.03300330033003301,1
gene_8,0.03300330033003301,1
gene_9,0.03300330033003301,1
gene_10,0.03300330033003301,1
gene_11,0.03300330033003301,1
gene_12,0.03300330033003301,1
gene_13,0.03300330033003301,1
gene_14,0.03300330033003301,1
gene_15,0.03300330033003301,1
gene_16,0.03300330033003301,1
gene_17,0.03300330033003301,1
gene_18,0.03300330033003301,1
gene_19,0.03300330033003301,1
gene_20,0.03300330033003301,1
gene_21,0.03300330033003301,1
gene_22,0.03300330033003301,1
gene_23,0.03300330033003301,1
gene_24,0.03300330033003301,1
gene_25,0.03300330033003301,1
gene_26,0.03300330033003301,1
gene_27,0.03300330033003301,1
gene_28,0.03300330033003301,1
gene_29,0.03300330033003301,1
gene_30,0.03300330033003301,1
gene_31,0.03300330033003301,1
gene_32,0.03300330033003301,1
gene_33,0.03300330033003301,1
gene_34,0.03300330033003301,1
gene_35,0.03300330033003301,1
gene_36,0.03300330033003301,1
gene_37,0.03300330033003301,1
gene_38,0.03300330033003301,1
gene_39,0.03300330033003301,1
gene_40,0.03300330033003301,1
gene_41,0.03300330033003301,1
gene_42,0.03300330033003301,1
gene_43,0.03300330033003301,1
gene_44,0.03300330033003301,1
gene_45,0.03300330033003301,1
gene_46,0.03300330033003301,1
gene_47,0.03300330033003301,1
gene_48,0.03300330033003301,1
gene_49,0.03300330033003301,1
gene_50,0.35548767642721724,0
gene_51,0.3516745117134664,0
gene_52,0.285028502850285,0
gene_53,0.15592110392141575,0
gene_54,0.40656239536997185,0
gene_55,0.1931044168246612,0
gene_56,0.35548767642721724,0
gene_57,0.40656239536997185,0
gene_58,0.05964451866873434,0
gene_59,0.3076578844325111,0
gene_60,0.22949314799029574,0
gene_61,0.36811373445036805,0
gene_62,0.15592110392141575,0
gene_63,0.3076578844325111,0
gene_64,0.22039875220398755,0
gene_65,0.2929287011541391,0
gene_66,0.46204620462046203,0
gene_67,0.08343530982311714,0
gene_68,0.4869339392955689,0
gene_69,0.41639677986490237,0
gene_70,0.08343530982311714,0
gene_71,0.2522545248155389,0
gene_72,0.3940692576720358,0
gene_73,0.1931044168246612,0
gene_74,0.12693577050012692,0
gene_75,0.11786892975011788,0
gene_76,0.03300330033003301,0
gene_77,0.3516745117134664,0
gene_78,0.46478446971334686,0
gene_79,0.46742871712063905,0
gene_80,0.15592110392141575,0
gene_81,0.3940692576720358,0
gene_82,0.03300330033003301,0
gene_83,0.11786892975011788,0
gene_84,0.36811373445036805,0
gene_85,0.4448601542181868,0
gene_86,0.22039875220398755,0
gene_87,0.12693577050012692,0
gene_88,0.46742871712063905,0
gene_89,0.36286351148203827,0
gene_90,0.3418850172310049,0
gene_91,0.4827246210098189,0
gene_92,0.4784091854563608,0
gene_93,0.03300330033003301,0
gene_94,0.4827246210098189,0
gene_95,0.12693577050012692,0
gene_96,0.03300330033003301,0
gene_97,0.11786892975011788,0
gene_98,0.4827246210098189,0
gene_99,0.11786892975011788,0
gene_100,0.11786892975011788,0
gene_101,0.22949314799029574,0
gene_102,0.2929287011541391,0
gene_103,0.03300330033003301,0
gene_104,0.41058608230491295,0
gene_105,0.15592110392141575,0
gene_106,0.46478446971334686,0
gene_107,0.4970376555727862,0
gene_108,0.46478446971334686,0
gene_109,0.18335166850018333,0
gene_110,0.03300330033003301,0
gene_111,0.05964451866873434,0
gene_112,0.03300330033003301,0
gene_113,0.12693577050012692,0
gene_114,0.45920881680928277,0
gene_115,0.476009139375476,0
gene_116,0.23954008304056212,0
gene_117,0.11786892975011788,0
gene_118,0.35548767642721724,0
gene_119,0.36286351148203827,0
gene_120,0.03300330033003301,0
gene_121,0.12693577050012692,0
gene_122,0.41058608230491295,0
gene_123,0.49303710858890765,0
gene_124,0.12693577050012692,0
gene_125,0.2929287011541391,0
gene_126,0.05964451866873434,0
gene_127,0.17136329017517135,0
gene_128,0.4448601542181868,0
gene_129,0.03300330033003301,0
gene_130,0.11786892975011788,0
gene_131,0.03300330033003301,0
gene_132,0.1931044168246612,0
gene_133,0.4970376555727862,0
gene_134,0.03300330033003301,0
gene_135,0.1076194575979337,0
gene_136,0.36811373445036805,0
gene_137,0.4869339392955689,0
gene_138,0.17136329017517135,0
gene_139,0.15592110392141575,0
gene_140,0.3769412474242348,0
gene_141,0.3418850172310049,0
gene_142,0.46742871712063905,0
gene_143,0.36811373445036805,0
gene_144,0.4521000045210001,0
gene_145,0.26136153988069616,0
gene_146,0.3022104536034999,0
gene_147,0.12693577050012692,0
gene_148,0.40040768782760633,0
gene_149,0.14319613779559776,0
gene_150,0.11786892975011788,0
gene_151,0.41639677986490237,0
gene_152,0.4784091854563608,0
gene_153,0.4970376555727862,0
gene_154,0.3076578844325111,0
gene_155,0.41058608230491295,0
gene_156,0.05964451866873434,0
gene_157,0.46478446971334686,0
gene_158,0.03300330033003301,0
gene_159,0.23954008304056212,0
gene_160,0.11786892975011788,0
gene_161,0.23954008304056212,0
gene_162,0.46742871712063905,0
gene_163,0.03300330033003301,0
gene_164,0.3940692576720358,0
gene_165,0.03300330033003301,0
gene_166,0.03300330033003301,0
gene_167,0.22039875220398755,0
gene_168,0.23954008304056212,0
gene_169,0.1931044168246612,0
gene_170,0.03300330033003301,0
gene_171,0.03300330033003301,0
gene_172,0.40040768782760633,0
gene_173,0.12693577050012692,0
gene_174,0.05964451866873434,0
gene_175,0.22949314799029574,0
gene_176,0.11786892975011788,0
gene_177,0.40656239536997185,0
gene_178,0.4869339392955689,0
