,adjustedPval,spatially_variable
gene_0,2.25901903555189e-39,1
gene_1,7.11753736662455e-148,1
gene_2,3.27063215839126e-61,1
gene_3,2.38299774597481e-159,1
gene_4,8.33417046268505e-32,1
gene_5,1.17081408594797e-143,1
gene_6,4.85305435487848e-09,1
gene_7,9.10873958840385e-112,1
gene_8,2.67501146509719e-48,1
gene_9,8.41304521673566e-104,1
gene_10,1.39880257040169e-141,1
gene_11,9.07080366875417e-71,1
gene_12,5.33014773438886e-18,1
gene_13,2.91375484161321e-92,1
gene_14,5.62386045458542e-75,1
gene_15,1.46018718426536e-181,1
gene_16,2.86102293170005e-110,1
gene_17,0.000660702200162612,1
gene_18,4.76899842750849e-35,1
gene_19,1.3052347641885e-12,1
gene_20,1.58339141475977e-90,1
gene_21,1.76336334327275e-177,1
gene_22,8.24661320221118e-64,1
gene_23,9.93792983966192e-244,1
gene_24,7.4855978329996e-34,1
gene_25,4.14745539377844e-69,1
gene_26,7.28166073993586e-61,1
gene_27,2.61400907966207e-202,1
gene_28,4.34269646028039e-67,1
gene_29,3.71914180786458e-110,1
gene_30,4.47235932505706e-21,1
gene_31,7.39722798026505e-39,1
gene_32,1.35457895069456e-38,1
gene_33,1.69279899348286e-80,1
gene_34,1.68359821783624e-30,1
gene_35,2.03797892119482e-20,1
gene_36,2.60385097657128e-190,1
gene_37,1.94889377654365e-90,1
gene_38,1.09397679966046e-77,1
gene_39,5.66007023301345e-108,1
gene_40,2.25690814111889e-271,1
gene_41,8.6255166720958e-60,1
gene_42,3.24153296768238e-37,1
gene_43,1.53261234317844e-35,1
gene_44,1.0460887390013e-69,1
gene_45,2.25901903555189e-39,1
gene_46,1.62866630028358e-100,1
gene_47,3.45450245450028e-290,1
gene_48,1.77984241038015e-74,1
gene_49,8.55552174431389e-111,1
gene_50,1,0
gene_51,1,0
gene_52,1,0
gene_53,1,0
gene_54,1,0
gene_55,1,0
gene_56,1,0
gene_57,1,0
gene_58,1,0
gene_59,1,0
gene_60,1,0
gene_61,1,0
gene_62,1,0
gene_63,1,0
gene_64,1,0
gene_65,1,0
gene_66,1,0
gene_67,1,0
gene_68,1,0
gene_69,1,0
gene_70,1,0
gene_71,1,0
gene_72,1,0
gene_73,1,0
gene_74,1,0
gene_75,1,0
gene_76,1,0
gene_77,1,0
gene_78,1,0
gene_79,1,0
gene_80,0.117171961179949,0
gene_81,1,0
gene_82,1,0
gene_83,1,0
gene_84,1,0
gene_85,1,0
gene_86,1,0
gene_87,1,0
gene_88,1,0
gene_89,1,0
gene_90,1,0
gene_91,1,0
gene_92,1,0
gene_93,1,0
gene_94,1,0
gene_95,1,0
gene_96,1,0
gene_97,1,0
gene_98,1,0
gene_99,1,0
gene_100,1,0
gene_101,1,0
gene_102,1,0
gene_103,1,0
gene_104,1,0
gene_105,1,0
gene_106,1,0
gene_107,1,0
gene_108,1,0
gene_109,1,0
gene_110,1,0
gene_111,1,0
gene_112,1,0
gene_113,1,0
gene_114,1,0
gene_115,1,0
gene_116,1,0
gene_117,1,0
gene_118,1,0
gene_119,1,0
gene_120,1,0
gene_121,1,0
gene_122,1,0
gene_123,1,0
gene_124,1,0
gene_125,1,0
gene_126,1,0
gene_127,1,0
gene_128,1,0
gene_129,0.572451205760851,0
gene_130,1,0
gene_131,1,0
gene_132,1,0
gene_133,1,0
gene_134,1,0
gene_135,1,0
gene_136,1,0
gene_137,1,0
gene_138,1,0
gene_139,1,0
gene_140,0.239108004124027,0
gene_141,1,0
gene_142,1,0
gene_143,1,0
gene_144,1,0
gene_145,1,0
gene_146,1,0
gene_147,1,0
gene_148,1,0
gene_149,1,0
gene_150,1,0
gene_151,1,0
gene_152,1,0
gene_153,1,0
gene_154,1,0
gene_155,1,0
gene_156,1,0
gene_157,1,0
gene_158,1,0
gene_159,1,0
gene_160,0.892479707675438,0
gene_161,1,0
gene_162,1,0
gene_163,1,0
gene_164,1,0
gene_165,1,0
gene_166,1,0
gene_167,1,0
gene_168,1,0
gene_169,1,0
gene_170,1,0
gene_171,1,0
gene_172,1,0
gene_173,1,0
gene_174,1,0
gene_175,0.456768719452381,0
gene_176,1,0
gene_177,1,0
gene_178,1,0
gene_179,1,0
gene_180,1,0
gene_181,1,0
gene_182,1,0
gene_183,1,0
gene_184,1,0
gene_185,1,0
gene_186,1,0
gene_187,1,0
gene_188,1,0
gene_189,1,0
gene_190,1,0
gene_191,1,0
gene_192,1,0
gene_193,1,0
gene_194,1,0
gene_195,1,0
gene_196,1,0
gene_197,1,0
gene_198,1,0
gene_199,1,0
gene_200,1,0
gene_201,1,0
gene_202,1,0
gene_203,1,0
gene_204,1,0
gene_205,1,0
gene_206,1,0
gene_207,1,0
gene_208,1,0
gene_209,1,0
gene_210,1,0
gene_211,1,0
gene_212,1,0
gene_213,1,0
gene_214,1,0
gene_215,1,0
gene_216,1,0
gene_217,1,0
gene_218,1,0
gene_219,1,0
gene_220,1,0
gene_221,1,0
gene_222,1,0
gene_223,1,0
gene_224,1,0
gene_225,1,0
gene_226,1,0
gene_227,1,0
gene_228,1,0
gene_229,1,0
gene_230,1,0
gene_231,1,0
gene_232,1,0
gene_233,1,0
gene_234,1,0
gene_235,1,0
gene_236,1,0
gene_237,0.113344391082874,0
gene_238,1,0
gene_239,1,0
gene_240,1,0
gene_241,1,0
gene_242,1,0
gene_243,1,0
gene_244,1,0
gene_245,1,0
gene_246,1,0
gene_247,1,0
gene_248,1,0
gene_249,1,0
