,fdrs,spatially_variable
gene_0,0.0,1
gene_1,5.097542697253125e-258,1
gene_2,1.904665908997837e-186,1
gene_3,6.363349209153837e-25,1
gene_4,1.0,1
gene_5,1.0,1
gene_6,1.0,1
gene_7,6.2403213460788566e-06,1
gene_8,9.757022187999586e-09,1
gene_9,5.952253552911908e-29,1
gene_10,1.0,1
gene_11,0.0,1
gene_12,3.2376228122266306e-163,1
gene_13,2.3824312836428897e-145,1
gene_14,7.275088213197983e-151,1
gene_15,6.286622354436884e-162,1
gene_16,0.0,1
gene_17,3.303639299309069e-210,1
gene_18,3.6266711108156696e-09,1
gene_19,0.0,1
gene_20,1.4764008755165208e-236,1
gene_21,1.8613067596207595e-05,1
gene_22,1.0,1
gene_23,0.0,1
gene_24,2.678038985676345e-187,1
gene_25,0.0,1
gene_26,3.4300709529017276e-98,1
gene_27,0.0,1
gene_28,0.0,1
gene_29,1.0,1
gene_30,1.2777380779638523e-66,1
gene_31,1.0,1
gene_32,2.042485123275615e-11,1
gene_33,2.8071599586826964e-167,1
gene_34,1.0,1
gene_35,1.8973625121114428e-231,1
gene_36,0.0,1
gene_37,1.0995511871529099e-185,1
gene_38,1.0,1
gene_39,7.029628683959605e-102,1
gene_40,4.4452979540094537e-182,1
gene_41,9.349195035177056e-237,1
gene_42,0.0,1
gene_43,8.408540250341607e-148,1
gene_44,1.0,1
gene_45,3.764731252212324e-304,1
gene_46,0.0,1
gene_47,1.0,1
gene_48,1.0,1
gene_49,3.411479843232844e-74,1
gene_50,1.0,0
gene_51,1.0,0
gene_52,1.0,0
gene_53,1.0,0
gene_54,1.0,0
gene_55,1.0,0
gene_56,1.0,0
gene_57,1.0,0
gene_58,1.0,0
gene_59,1.0,0
gene_60,1.0,0
gene_61,1.0,0
gene_62,1.0,0
gene_63,1.0,0
gene_64,1.0,0
gene_65,1.0,0
gene_66,1.0,0
gene_67,1.0,0
gene_68,1.0,0
gene_69,1.0,0
gene_70,1.0,0
gene_71,1.0,0
gene_72,1.0,0
gene_73,1.0,0
gene_74,1.0,0
gene_75,1.0,0
gene_76,1.0,0
gene_77,1.0,0
gene_78,1.0,0
gene_79,1.0,0
gene_80,1.0,0
gene_81,1.0,0
gene_82,1.0,0
gene_83,1.0,0
gene_84,1.0,0
gene_85,1.0,0
gene_86,1.0,0
gene_87,1.0,0
gene_88,1.0,0
gene_89,1.0,0
gene_90,1.0,0
gene_91,1.0,0
gene_92,1.0,0
gene_93,1.0,0
gene_94,1.0,0
gene_95,1.0,0
gene_96,1.0,0
gene_97,1.0,0
gene_98,1.0,0
gene_99,1.0,0
gene_100,1.0,0
gene_101,1.0,0
gene_102,1.0,0
gene_103,1.0,0
gene_104,1.0,0
gene_105,1.0,0
gene_106,1.0,0
gene_107,1.0,0
gene_108,1.0,0
gene_109,1.0,0
gene_110,1.0,0
gene_111,1.0,0
gene_112,1.0,0
gene_113,1.0,0
gene_114,1.0,0
gene_115,1.0,0
gene_116,1.0,0
gene_117,1.0,0
gene_118,1.0,0
gene_119,1.0,0
gene_120,1.0,0
gene_121,1.0,0
gene_122,1.0,0
gene_123,1.0,0
gene_124,1.0,0
gene_125,1.0,0
gene_126,1.0,0
gene_127,1.0,0
gene_128,1.0,0
gene_129,1.0,0
gene_130,1.0,0
gene_131,1.0,0
gene_132,1.0,0
gene_133,1.0,0
gene_134,1.0,0
gene_135,1.0,0
gene_136,1.0,0
gene_137,1.0,0
gene_138,1.0,0
gene_139,1.0,0
gene_140,1.0,0
gene_141,1.0,0
gene_142,1.0,0
gene_143,1.0,0
