,fdrs,spatially_variable
gene_0,1.0,1
gene_1,8.588198850530999e-13,1
gene_2,1.2563767317482374e-252,1
gene_3,5.376569918548199e-192,1
gene_4,1.4255365611666033e-194,1
gene_5,0.0,1
gene_6,5.997274508391336e-241,1
gene_7,4.116933785165786e-08,1
gene_8,2.7802793886263746e-193,1
gene_9,3.868573897283361e-98,1
gene_10,0.0,1
gene_11,7.700593987205993e-128,1
gene_12,6.505635883817022e-150,1
gene_13,4.5538152934592286e-275,1
gene_14,1.0,1
gene_15,1.0,1
gene_16,1.0,1
gene_17,3.9733978552157093e-63,1
gene_18,5.704942981866393e-290,1
gene_19,0.0,1
gene_20,6.526066053718659e-308,1
gene_21,1.5263543540053606e-08,1
gene_22,1.0,1
gene_23,6.099207864168888e-82,1
gene_24,1.0,1
gene_25,6.394411748148734e-108,1
gene_26,1.2800161185263481e-26,1
gene_27,4.249218772798649e-188,1
gene_28,3.63214458511199e-27,1
gene_29,6.949338430486596e-87,1
gene_30,1.0,1
gene_31,1.0,1
gene_32,1.0,1
gene_33,1.0,1
gene_34,0.0,1
gene_35,1.5892621453046776e-300,1
gene_36,1.0834659209566596e-139,1
gene_37,5.446322093860637e-299,1
gene_38,1.0,1
gene_39,2.4151833849136957e-218,1
gene_40,2.5657794692607777e-259,1
gene_41,1.0,1
gene_42,2.9007103890445273e-215,1
gene_43,1.1931651954762125e-277,1
gene_44,2.7354366457298312e-149,1
gene_45,1.0,1
gene_46,2.636088565359542e-15,1
gene_47,1.4144273898178345e-67,1
gene_48,1.0,1
gene_49,7.032932700269757e-185,1
gene_50,1.0,0
gene_51,1.0,0
gene_52,1.0,0
gene_53,1.0,0
gene_54,1.0,0
gene_55,1.0,0
gene_56,1.0,0
gene_57,1.0,0
gene_58,1.0,0
gene_59,1.0,0
gene_60,1.0,0
gene_61,1.0,0
gene_62,1.0,0
gene_63,1.0,0
gene_64,1.0,0
gene_65,1.0,0
gene_66,1.0,0
gene_67,1.0,0
gene_68,1.0,0
gene_69,1.0,0
gene_70,1.0,0
gene_71,1.0,0
gene_72,1.0,0
gene_73,1.0,0
gene_74,1.0,0
gene_75,1.0,0
gene_76,1.0,0
gene_77,1.0,0
gene_78,1.0,0
gene_79,1.0,0
gene_80,1.0,0
gene_81,1.0,0
gene_82,1.0,0
gene_83,1.0,0
gene_84,1.0,0
gene_85,1.0,0
gene_86,1.0,0
gene_87,1.0,0
gene_88,1.0,0
gene_89,1.0,0
gene_90,1.0,0
gene_91,1.0,0
gene_92,1.0,0
gene_93,1.0,0
gene_94,1.0,0
gene_95,1.0,0
gene_96,1.0,0
gene_97,1.0,0
gene_98,1.0,0
gene_99,1.0,0
gene_100,1.0,0
gene_101,1.0,0
gene_102,1.0,0
gene_103,1.0,0
gene_104,1.0,0
gene_105,1.0,0
gene_106,1.0,0
gene_107,1.0,0
gene_108,1.0,0
gene_109,1.0,0
gene_110,1.0,0
gene_111,1.0,0
gene_112,1.0,0
gene_113,1.0,0
gene_114,1.0,0
gene_115,1.0,0
gene_116,1.0,0
gene_117,1.0,0
gene_118,1.0,0
gene_119,1.0,0
gene_120,1.0,0
gene_121,1.0,0
gene_122,1.0,0
gene_123,1.0,0
gene_124,1.0,0
gene_125,1.0,0
gene_126,1.0,0
gene_127,1.0,0
gene_128,1.0,0
gene_129,1.0,0
gene_130,1.0,0
gene_131,1.0,0
gene_132,1.0,0
gene_133,1.0,0
gene_134,1.0,0
gene_135,1.0,0
gene_136,1.0,0
gene_137,1.0,0
gene_138,1.0,0
gene_139,1.0,0
gene_140,1.0,0
gene_141,1.0,0
gene_142,1.0,0
gene_143,1.0,0
gene_144,1.0,0
gene_145,1.0,0
gene_146,1.0,0
gene_147,1.0,0
gene_148,1.0,0
gene_149,1.0,0
gene_150,1.0,0
gene_151,1.0,0
gene_152,1.0,0
gene_153,1.0,0
gene_154,1.0,0
gene_155,1.0,0
gene_156,1.0,0
gene_157,1.0,0
gene_158,1.0,0
gene_159,1.0,0
gene_160,1.0,0
gene_161,1.0,0
gene_162,1.0,0
gene_163,1.0,0
gene_164,1.0,0
gene_165,1.0,0
gene_166,1.0,0
gene_167,1.0,0
gene_168,1.0,0
gene_169,1.0,0
gene_170,1.0,0
gene_171,1.0,0
gene_172,1.0,0
gene_173,1.0,0
gene_174,1.0,0
gene_175,1.0,0
gene_176,1.0,0
gene_177,1.0,0
gene_178,1.0,0
gene_179,1.0,0
gene_180,1.0,0
gene_181,1.0,0
gene_182,1.0,0
gene_183,1.0,0
gene_184,1.0,0
gene_185,1.0,0
gene_186,1.0,0
gene_187,1.0,0
gene_188,1.0,0
gene_189,1.0,0
gene_190,1.0,0
gene_191,1.0,0
gene_192,1.0,0
gene_193,1.0,0
gene_194,1.0,0
gene_195,1.0,0
gene_196,1.0,0
gene_197,1.0,0
gene_198,1.0,0
gene_199,1.0,0
gene_200,1.0,0
gene_201,1.0,0
gene_202,1.0,0
gene_203,1.0,0
gene_204,1.0,0
gene_205,1.0,0
gene_206,1.0,0
gene_207,1.0,0
gene_208,1.0,0
gene_209,1.0,0
gene_210,1.0,0
gene_211,1.0,0
gene_212,1.0,0
gene_213,1.0,0
gene_214,1.0,0
gene_215,1.0,0
gene_216,1.0,0
gene_217,1.0,0
gene_218,1.0,0
gene_219,1.0,0
gene_220,1.0,0
gene_221,1.0,0
gene_222,1.0,0
gene_223,1.0,0
gene_224,1.0,0
gene_225,1.0,0
gene_226,1.0,0
gene_227,1.0,0
gene_228,1.0,0
gene_229,1.0,0
gene_230,1.0,0
gene_231,1.0,0
gene_232,1.0,0
gene_233,1.0,0
gene_234,1.0,0
gene_235,1.0,0
gene_236,1.0,0
gene_237,1.0,0
gene_238,1.0,0
gene_239,1.0,0
gene_240,1.0,0
gene_241,1.0,0
gene_242,1.0,0
gene_243,1.0,0
gene_244,1.0,0
gene_245,1.0,0
gene_246,1.0,0
gene_247,1.0,0
gene_248,1.0,0
gene_249,1.0,0
