,adjustedPval,spatially_variable
gene_0,7.94358376748163e-120,1
gene_1,5.15208100075391e-17,1
gene_10,5.2284811517694e-52,1
gene_100,1,0
gene_101,0.876014192217621,0
gene_102,1,0
gene_103,1,0
gene_104,1,0
gene_105,0.954085657927493,0
gene_106,1,0
gene_107,1,0
gene_108,1,0
gene_109,1,0
gene_11,1.81294744208862e-229,1
gene_110,1,0
gene_111,1,0
gene_112,1,0
gene_113,1,0
gene_114,1,0
gene_115,0.387912191402032,0
gene_116,1,0
gene_117,1,0
gene_118,1,0
gene_119,1,0
gene_12,0,1
gene_120,0.640629926822082,0
gene_121,1,0
gene_122,1,0
gene_123,1,0
gene_124,1,0
gene_125,1,0
gene_126,1,0
gene_127,1,0
gene_128,1,0
gene_129,1,0
gene_13,3.28589597850303e-227,1
gene_130,1,0
gene_131,1,0
gene_132,1,0
gene_133,1,0
gene_134,1,0
gene_135,1,0
gene_136,1,0
gene_137,1,0
gene_138,1,0
gene_139,1,0
gene_14,2.3032487012457e-237,1
gene_140,1,0
gene_141,1,0
gene_142,0.175442703372689,0
gene_143,1,0
gene_144,1,0
gene_145,1,0
gene_146,1,0
gene_147,1,0
gene_148,1,0
gene_149,1,0
gene_15,5.41107861120428e-160,1
gene_150,1,0
gene_151,1,0
gene_152,1,0
gene_153,1,0
gene_154,1,0
gene_155,1,0
gene_156,1,0
gene_157,1,0
gene_158,1,0
gene_159,1,0
gene_16,8.28184190164927e-87,1
gene_160,1,0
gene_161,1,0
gene_162,1,0
gene_163,1,0
gene_164,0.115976675369634,0
gene_165,1,0
gene_166,1,0
gene_167,1,0
gene_168,1,0
gene_169,1,0
gene_17,2.15661088645005e-54,1
gene_170,1,0
gene_171,1,0
gene_172,1,0
gene_173,1,0
gene_174,1,0
gene_175,1,0
gene_176,1,0
gene_177,1,0
gene_178,1,0
gene_179,1,0
gene_18,1,1
gene_180,1,0
gene_181,1,0
gene_182,1,0
gene_183,1,0
gene_184,1,0
gene_185,1,0
gene_186,1,0
gene_187,1,0
gene_188,1,0
gene_189,1,0
gene_19,2.54367552764657e-132,1
gene_190,0.430972551731429,0
gene_191,1,0
gene_192,0.876014192217621,0
gene_193,1,0
gene_194,1,0
gene_195,1,0
gene_196,1,0
gene_197,1,0
gene_198,1,0
gene_199,1,0
gene_2,0.0013323672189161,1
gene_20,3.713008694662e-86,1
gene_200,1,0
gene_201,1,0
gene_202,1,0
gene_203,1,0
gene_204,1,0
gene_205,1,0
gene_206,1,0
gene_207,1,0
gene_208,1,0
gene_209,1,0
gene_21,1.25173026238128e-271,1
gene_210,0.930638607355851,0
gene_211,1,0
gene_212,1,0
gene_213,1,0
gene_214,1,0
gene_215,1,0
gene_216,1,0
gene_217,1,0
gene_218,1,0
gene_219,1,0
gene_22,6.29093195062053e-56,1
gene_220,0.855584475399676,0
gene_221,1,0
gene_222,1,0
gene_223,1,0
gene_224,1,0
gene_225,1,0
gene_226,1,0
gene_227,1,0
gene_228,1,0
gene_229,1,0
gene_23,5.22693079218682e-24,1
gene_230,1,0
gene_231,1,0
gene_232,1,0
gene_233,1,0
gene_234,1,0
gene_235,1,0
gene_236,1,0
gene_237,1,0
gene_238,1,0
gene_239,1,0
gene_24,1.60999365915634e-277,1
gene_240,1,0
gene_241,1,0
gene_242,1,0
gene_243,1,0
gene_244,1,0
gene_245,1,0
gene_246,1,0
gene_247,1,0
gene_248,1,0
gene_249,1,0
gene_25,1.64914330215508e-87,1
gene_26,1.09614314051549e-232,1
gene_27,6.6152624907375e-93,1
gene_28,1.08560417334518e-24,1
gene_29,2.12057487519106e-20,1
gene_3,9.42319015273915e-42,1
gene_30,1.29105348043516e-63,1
gene_31,2.51384521004777e-49,1
gene_32,1.14346491254055e-70,1
gene_33,4.35917335630545e-38,1
gene_34,2.23399636279684e-231,1
gene_35,8.02824848554143e-76,1
gene_36,1.6121054055854e-183,1
gene_37,8.47090413309034e-104,1
gene_38,1.59910238194028e-26,1
gene_39,4.83813185790369e-175,1
gene_4,1.65235847791165e-85,1
gene_40,1.57725873956488e-25,1
gene_41,1.93611913176778e-32,1
gene_42,4.72330773118234e-80,1
gene_43,3.02336807630883e-123,1
gene_44,4.78881238271047e-34,1
gene_45,1.01092247817232e-169,1
gene_46,7.11035456945498e-11,1
gene_47,8.28625175195e-14,1
gene_48,8.36280649727635e-211,1
gene_49,1.74797406313541e-36,1
gene_5,1.3107683741958e-57,1
gene_50,1,0
gene_51,1,0
gene_52,1,0
gene_53,1,0
gene_54,1,0
gene_55,1,0
gene_56,1,0
gene_57,1,0
gene_58,0.876014192217621,0
gene_59,1,0
gene_6,4.37564999488475e-161,1
gene_60,1,0
gene_61,1,0
gene_62,1,0
gene_63,1,0
gene_64,1,0
gene_65,1,0
gene_66,1,0
gene_67,1,0
gene_68,1,0
gene_69,1,0
gene_7,7.91097730468199e-114,1
gene_70,1,0
gene_71,1,0
gene_72,1,0
gene_73,1,0
gene_74,1,0
gene_75,1,0
gene_76,0.876014192217621,0
gene_77,1,0
gene_78,1,0
gene_79,1,0
gene_8,5.2377888462459e-63,1
gene_80,1,0
gene_81,1,0
gene_82,1,0
gene_83,1,0
gene_84,1,0
gene_85,1,0
gene_86,1,0
gene_87,1,0
gene_88,1,0
gene_89,1,0
gene_9,1.83358253434304e-113,1
gene_90,1,0
gene_91,0.925893595009273,0
gene_92,1,0
gene_93,1,0
gene_94,1,0
gene_95,1,0
gene_96,1,0
gene_97,1,0
gene_98,1,0
gene_99,1,0
