,adjustedPval,spatially_variable
gene_0,9.77373902070449e-11,1
gene_1,4.27703387875443e-95,1
gene_10,1.07103011290661e-126,1
gene_100,1,0
gene_101,1,0
gene_102,1,0
gene_103,1,0
gene_104,1,0
gene_105,1,0
gene_106,1,0
gene_107,1,0
gene_108,1,0
gene_109,1,0
gene_11,1.12753990403359e-95,1
gene_110,1,0
gene_111,1,0
gene_112,1,0
gene_113,1,0
gene_114,1,0
gene_115,1,0
gene_116,1,0
gene_117,1,0
gene_118,1,0
gene_119,1,0
gene_12,1.3737050226827e-184,1
gene_120,1,0
gene_121,1,0
gene_122,1,0
gene_123,1,0
gene_124,1,0
gene_125,1,0
gene_126,1,0
gene_127,1,0
gene_128,1,0
gene_129,1,0
gene_13,1.4554870952983e-66,1
gene_130,1,0
gene_131,1,0
gene_132,1,0
gene_133,1,0
gene_134,1,0
gene_135,1,0
gene_136,1,0
gene_137,1,0
gene_138,0.212633868827806,0
gene_139,1,0
gene_14,3.83241917080602e-37,1
gene_140,1,0
gene_141,1,0
gene_142,1,0
gene_143,1,0
gene_144,1,0
gene_145,1,0
gene_146,1,0
gene_147,1,0
gene_148,1,0
gene_149,1,0
gene_15,1.26184879421488e-138,1
gene_150,1,0
gene_151,1,0
gene_152,1,0
gene_153,1,0
gene_154,1,0
gene_155,1,0
gene_156,1,0
gene_157,1,0
gene_158,1,0
gene_159,1,0
gene_16,8.16245727879249e-24,1
gene_160,1,0
gene_161,1,0
gene_162,1,0
gene_163,0.633957156036058,0
gene_164,1,0
gene_165,1,0
gene_166,1,0
gene_167,1,0
gene_168,1,0
gene_169,1,0
gene_17,3.47142696470074e-23,1
gene_170,1,0
gene_171,1,0
gene_172,1,0
gene_173,1,0
gene_174,1,0
gene_175,1,0
gene_176,1,0
gene_177,1,0
gene_178,1,0
gene_179,1,0
gene_18,5.17990479129921e-46,1
gene_180,1,0
gene_181,1,0
gene_182,1,0
gene_183,1,0
gene_184,0.957976775339562,0
gene_185,1,0
gene_186,1,0
gene_187,1,0
gene_188,1,0
gene_189,1,0
gene_19,2.98005577687532e-150,1
gene_190,1,0
gene_191,1,0
gene_192,1,0
gene_193,1,0
gene_194,1,0
gene_195,1,0
gene_196,1,0
gene_197,1,0
gene_198,1,0
gene_199,1,0
gene_2,1.9679120979035e-129,1
gene_20,0.019040720635042,1
gene_200,1,0
gene_201,1,0
gene_202,1,0
gene_203,1,0
gene_204,1,0
gene_205,1,0
gene_206,1,0
gene_207,1,0
gene_208,1,0
gene_209,1,0
gene_21,5.18530884584416e-37,1
gene_210,1,0
gene_211,1,0
gene_212,1,0
gene_213,1,0
gene_214,1,0
gene_215,1,0
gene_216,1,0
gene_217,1,0
gene_218,1,0
gene_219,1,0
gene_22,4.72971540172958e-196,1
gene_220,1,0
gene_221,1,0
gene_222,1,0
gene_223,1,0
gene_224,0.453762815539205,0
gene_225,1,0
gene_226,1,0
gene_227,1,0
gene_228,1,0
gene_229,1,0
gene_23,4.88942705627609e-31,1
gene_230,1,0
gene_231,0.0498340372566175,0
gene_232,0.880983129307633,0
gene_233,1,0
gene_234,0.932313219879441,0
gene_235,1,0
gene_236,1,0
gene_237,1,0
gene_238,0.355771596594965,0
gene_239,1,0
gene_24,3.60051050109696e-93,1
gene_240,1,0
gene_241,1,0
gene_242,0.880983129307633,0
gene_243,1,0
gene_244,1,0
gene_245,0.736171811776357,0
gene_246,1,0
gene_247,1,0
gene_248,1,0
gene_249,1,0
gene_25,6.80484337787115e-15,1
gene_26,1.15543729708744e-10,1
gene_27,1.14048973117354e-278,1
gene_28,1.08081544590652e-13,1
gene_29,1.29369809914956e-166,1
gene_3,7.17224374054052e-87,1
gene_30,1.16324632765988e-186,1
gene_31,4.01121510138082e-53,1
gene_32,1.80345820036099e-54,1
gene_33,2.94787177784647e-44,1
gene_34,5.37955435093513e-192,1
gene_35,3.73886914558359e-79,1
gene_36,3.44637911967752e-54,1
gene_37,4.37125565757393e-193,1
gene_38,3.30719279721843e-47,1
gene_39,1.67964186988793e-16,1
gene_4,7.21830033426535e-21,1
gene_40,1.58410955181505e-62,1
gene_41,4.61905293475104e-131,1
gene_42,1.1632051262915e-116,1
gene_43,1.90099935407547e-22,1
gene_44,2.06564038722038e-156,1
gene_45,5.37505993890148e-182,1
gene_46,3.67260165114558e-136,1
gene_47,6.94843826447198e-62,1
gene_48,5.79758696332708e-93,1
gene_49,1.25297157278583e-119,1
gene_5,2.83737943156669e-94,1
gene_50,1,0
gene_51,1,0
gene_52,1,0
gene_53,1,0
gene_54,1,0
gene_55,1,0
gene_56,1,0
gene_57,1,0
gene_58,1,0
gene_59,1,0
gene_6,6.33468300416341e-179,1
gene_60,1,0
gene_61,1,0
gene_62,0.234627659040818,0
gene_63,1,0
gene_64,1,0
gene_65,1,0
gene_66,1,0
gene_67,1,0
gene_68,1,0
gene_69,1,0
gene_7,2.19580732665051e-58,1
gene_70,1,0
gene_71,1,0
gene_72,1,0
gene_73,1,0
gene_74,1,0
gene_75,1,0
gene_76,1,0
gene_77,1,0
gene_78,0.633957156036058,0
gene_79,1,0
gene_8,2.05827018619056e-35,1
gene_80,1,0
gene_81,1,0
gene_82,1,0
gene_83,1,0
gene_84,0.880983129307633,0
gene_85,1,0
gene_86,1,0
gene_87,1,0
gene_88,1,0
gene_89,1,0
gene_9,5.33807406409902e-138,1
gene_90,1,0
gene_91,1,0
gene_92,1,0
gene_93,1,0
gene_94,1,0
gene_95,1,0
gene_96,1,0
gene_97,1,0
gene_98,1,0
gene_99,0.0241493626872953,0
