,adjustedPval,spatially_variable
gene_0,5.024306782009e-34,1
gene_1,2.20879926982176e-43,1
gene_10,2.20616981313642e-65,1
gene_100,1,0
gene_101,1,0
gene_102,1,0
gene_103,1,0
gene_104,1,0
gene_105,1,0
gene_106,1,0
gene_107,1,0
gene_108,1,0
gene_109,1,0
gene_11,6.62586860316607e-12,1
gene_110,1,0
gene_111,1,0
gene_112,1,0
gene_113,1,0
gene_114,1,0
gene_115,1,0
gene_116,1,0
gene_117,1,0
gene_118,1,0
gene_119,1,0
gene_12,3.94984770663687e-83,1
gene_120,0.212115290704432,0
gene_121,1,0
gene_122,1,0
gene_123,1,0
gene_124,1,0
gene_125,1,0
gene_126,1,0
gene_127,1,0
gene_128,1,0
gene_129,1,0
gene_13,1.6134547878266e-26,1
gene_130,1,0
gene_131,1,0
gene_132,1,0
gene_133,1,0
gene_134,1,0
gene_135,1,0
gene_136,1,0
gene_137,0.0834387916870965,0
gene_138,1,0
gene_139,1,0
gene_14,5.72102501646758e-91,1
gene_140,1,0
gene_141,1,0
gene_142,1,0
gene_143,1,0
gene_144,1,0
gene_145,1,0
gene_146,1,0
gene_147,1,0
gene_148,1,0
gene_149,1,0
gene_15,1.38487437453437e-179,1
gene_150,1,0
gene_151,1,0
gene_152,1,0
gene_153,1,0
gene_154,1,0
gene_155,1,0
gene_156,1,0
gene_157,1,0
gene_158,1,0
gene_159,1,0
gene_16,1.03011901442372e-157,1
gene_160,1,0
gene_161,1,0
gene_162,1,0
gene_163,1,0
gene_164,1,0
gene_165,1,0
gene_166,0.00948083262433907,0
gene_167,1,0
gene_168,1,0
gene_169,1,0
gene_17,2.89240752363392e-24,1
gene_170,1,0
gene_171,1,0
gene_172,1,0
gene_173,1,0
gene_174,1,0
gene_175,1,0
gene_176,1,0
gene_177,1,0
gene_178,1,0
gene_179,1,0
gene_18,1.67098142853146e-188,1
gene_180,1,0
gene_181,0.362173408918183,0
gene_182,1,0
gene_183,1,0
gene_184,1,0
gene_185,1,0
gene_186,1,0
gene_187,1,0
gene_188,1,0
gene_189,1,0
gene_19,1.65564914232199e-13,1
gene_190,1,0
gene_191,1,0
gene_192,1,0
gene_193,1,0
gene_194,1,0
gene_195,1,0
gene_196,1,0
gene_197,1,0
gene_198,1,0
gene_199,1,0
gene_2,2.93193509169669e-232,1
gene_20,6.62378763479098e-135,1
gene_200,1,0
gene_201,1,0
gene_202,1,0
gene_203,1,0
gene_204,1,0
gene_205,1,0
gene_206,1,0
gene_207,1,0
gene_208,1,0
gene_209,1,0
gene_21,1.1864159612892e-55,1
gene_210,1,0
gene_211,1,0
gene_212,1,0
gene_213,1,0
gene_214,1,0
gene_215,1,0
gene_216,1,0
gene_217,1,0
gene_218,1,0
gene_219,1,0
gene_22,8.30702258013585e-22,1
gene_220,1,0
gene_221,1,0
gene_222,1,0
gene_223,1,0
gene_224,1,0
gene_225,1,0
gene_226,1,0
gene_227,1,0
gene_228,1,0
gene_229,1,0
gene_23,0.0599888314820264,1
gene_230,1,0
gene_231,1,0
gene_232,1,0
gene_233,1,0
gene_234,1,0
gene_235,1,0
gene_236,1,0
gene_237,1,0
gene_238,1,0
gene_239,1,0
gene_24,2.18638790134701e-05,1
gene_240,1,0
gene_241,1,0
gene_242,1,0
gene_243,1,0
gene_244,1,0
gene_245,1,0
gene_246,1,0
gene_247,1,0
gene_248,1,0
gene_249,1,0
gene_25,1.04853763897005e-162,1
gene_26,8.33195597686035e-55,1
gene_27,8.07139613090778e-26,1
gene_28,3.86665883850832e-34,1
gene_29,1.48319914805577e-228,1
gene_3,3.63302421812496e-09,1
gene_30,6.38699257904789e-113,1
gene_31,7.45991557135301e-38,1
gene_32,7.5634474829553e-108,1
gene_33,7.6876082704329e-97,1
gene_34,5.67039696616982e-194,1
gene_35,6.60315118524058e-15,1
gene_36,1.27626413084495e-38,1
gene_37,7.75928814233117e-256,1
gene_38,1.14368559575521e-50,1
gene_39,3.96184545820905e-34,1
gene_4,2.95563159856381e-180,1
gene_40,1.36489464654392e-94,1
gene_41,2.36199761289849e-81,1
gene_42,2.36395671217451e-60,1
gene_43,5.37514288905038e-140,1
gene_44,7.0440497988153e-53,1
gene_45,1.00328861111734e-21,1
gene_46,1.07037932034179e-256,1
gene_47,6.42829649569921e-26,1
gene_48,4.84963652009477e-126,1
gene_49,0.00337225586041063,1
gene_5,4.26991678173571e-29,1
gene_50,1,0
gene_51,1,0
gene_52,1,0
gene_53,1,0
gene_54,1,0
gene_55,1,0
gene_56,1,0
gene_57,1,0
gene_58,1,0
gene_59,1,0
gene_6,6.49988058347931e-296,1
gene_60,1,0
gene_61,1,0
gene_62,1,0
gene_63,1,0
gene_64,1,0
gene_65,1,0
gene_66,1,0
gene_67,1,0
gene_68,1,0
gene_69,1,0
gene_7,4.04785502499123e-62,1
gene_70,1,0
gene_71,1,0
gene_72,1,0
gene_73,1,0
gene_74,1,0
gene_75,1,0
gene_76,1,0
gene_77,1,0
gene_78,1,0
gene_79,1,0
gene_8,1.64480799681693e-257,1
gene_80,1,0
gene_81,1,0
gene_82,1,0
gene_83,1,0
gene_84,1,0
gene_85,1,0
gene_86,1,0
gene_87,1,0
gene_88,1,0
gene_89,1,0
gene_9,7.52418761807562e-103,1
gene_90,1,0
gene_91,1,0
gene_92,1,0
gene_93,1,0
gene_94,1,0
gene_95,1,0
gene_96,0.821312500174165,0
gene_97,1,0
gene_98,1,0
gene_99,1,0
