,adjustedPval,spatially_variable
gene_0,1.18534926546231e-52,1
gene_1,2.7121714368013e-136,1
gene_10,1.00701537544574e-71,1
gene_100,1,0
gene_101,1,0
gene_102,1,0
gene_103,1,0
gene_104,1,0
gene_105,1,0
gene_106,1,0
gene_107,1,0
gene_108,1,0
gene_109,1,0
gene_11,1.52116615044663e-91,1
gene_110,1,0
gene_111,1,0
gene_112,1,0
gene_113,1,0
gene_114,1,0
gene_115,1,0
gene_116,1,0
gene_117,1,0
gene_118,1,0
gene_119,1,0
gene_12,4.74909849425077e-124,1
gene_120,1,0
gene_121,1,0
gene_122,1,0
gene_123,0.903093071018758,0
gene_124,1,0
gene_125,1,0
gene_126,1,0
gene_127,1,0
gene_128,1,0
gene_129,1,0
gene_13,2.16020956888959e-205,1
gene_130,1,0
gene_131,1,0
gene_132,1,0
gene_133,1,0
gene_134,0.980254807716151,0
gene_135,1,0
gene_136,1,0
gene_137,0.91704862701632,0
gene_138,1,0
gene_139,1,0
gene_14,1.09309751935396e-08,1
gene_140,1,0
gene_141,1,0
gene_142,1,0
gene_143,1,0
gene_144,1,0
gene_145,1,0
gene_146,1,0
gene_147,1,0
gene_148,1,0
gene_149,1,0
gene_15,6.84361204673718e-10,1
gene_150,1,0
gene_151,1,0
gene_152,1,0
gene_153,1,0
gene_154,1,0
gene_155,1,0
gene_156,1,0
gene_157,0.937058586956231,0
gene_158,1,0
gene_159,1,0
gene_16,1.09203601812526e-87,1
gene_160,1,0
gene_161,1,0
gene_162,1,0
gene_163,1,0
gene_164,1,0
gene_165,1,0
gene_166,1,0
gene_167,1,0
gene_168,1,0
gene_169,1,0
gene_17,1.04093145314642e-16,1
gene_170,1,0
gene_171,1,0
gene_172,1,0
gene_173,1,0
gene_174,1,0
gene_175,1,0
gene_176,1,0
gene_177,1,0
gene_178,1,0
gene_179,1,0
gene_18,2.05587598260561e-09,1
gene_180,1,0
gene_181,1,0
gene_182,1,0
gene_183,1,0
gene_184,1,0
gene_185,1,0
gene_186,1,0
gene_187,1,0
gene_188,1,0
gene_189,1,0
gene_19,1.50733956027492e-83,1
gene_190,1,0
gene_191,1,0
gene_192,1,0
gene_193,1,0
gene_194,1,0
gene_195,1,0
gene_196,0.504257991678933,0
gene_197,1,0
gene_198,1,0
gene_199,1,0
gene_2,2.8250508637607e-141,1
gene_20,3.78600070730099e-179,1
gene_200,0.295466762779291,0
gene_201,1,0
gene_202,1,0
gene_203,1,0
gene_204,1,0
gene_205,1,0
gene_206,0.415603449048871,0
gene_207,1,0
gene_208,1,0
gene_209,0.277804327851178,0
gene_21,6.11193018046779e-157,1
gene_210,1,0
gene_211,1,0
gene_212,1,0
gene_213,1,0
gene_214,1,0
gene_215,1,0
gene_216,1,0
gene_217,1,0
gene_218,1,0
gene_219,1,0
gene_22,1.38346208050596e-147,1
gene_220,1,0
gene_221,1,0
gene_222,1,0
gene_223,0.776031333342918,0
gene_224,1,0
gene_225,1,0
gene_226,1,0
gene_227,1,0
gene_228,1,0
gene_229,1,0
gene_23,5.20289473110114e-117,1
gene_230,1,0
gene_231,1,0
gene_232,1,0
gene_233,1,0
gene_234,1,0
gene_235,1,0
gene_236,0.903093071018758,0
gene_237,1,0
gene_238,1,0
gene_239,1,0
gene_24,2.78006015990359e-08,1
gene_240,1,0
gene_241,1,0
gene_242,1,0
gene_243,1,0
gene_244,1,0
gene_245,1,0
gene_246,1,0
gene_247,1,0
gene_248,1,0
gene_249,1,0
gene_25,3.03422604084568e-45,1
gene_26,5.91969099686898e-111,1
gene_27,5.00818797150075e-66,1
gene_28,1.61459456542172e-54,1
gene_29,8.21399945996573e-08,1
gene_3,3.14257702082311e-126,1
gene_30,8.95752912020028e-148,1
gene_31,3.00661695768281e-26,1
gene_32,1.50283274042187e-31,1
gene_33,1.54291830237356e-22,1
gene_34,2.0231880473829e-35,1
gene_35,4.94384618106065e-79,1
gene_36,1.07562519955849e-16,1
gene_37,1.03466419558265e-74,1
gene_38,2.93503500925151e-79,1
gene_39,3.95311232090714e-08,1
gene_4,1.60636189986103e-165,1
gene_40,2.08302917007581e-139,1
gene_41,4.16439953543541e-105,1
gene_42,1.43606744173318e-67,1
gene_43,9.77701441848838e-33,1
gene_44,1.26652077776517e-58,1
gene_45,1.09974907626698e-70,1
gene_46,1.28106111336774e-25,1
gene_47,5.53466223903783e-19,1
gene_48,8.08762146445721e-33,1
gene_49,1.4924409859436e-06,1
gene_5,2.97192419096039e-135,1
gene_50,1,0
gene_51,1,0
gene_52,1,0
gene_53,1,0
gene_54,1,0
gene_55,1,0
gene_56,1,0
gene_57,1,0
gene_58,0.903093071018758,0
gene_59,1,0
gene_6,1.54651503399079e-86,1
gene_60,1,0
gene_61,1,0
gene_62,1,0
gene_63,1,0
gene_64,1,0
gene_65,1,0
gene_66,1,0
gene_67,1,0
gene_68,1,0
gene_69,1,0
gene_7,3.27539924505521e-68,1
gene_70,1,0
gene_71,1,0
gene_72,1,0
gene_73,1,0
gene_74,1,0
gene_75,1,0
gene_76,0.766757550058879,0
gene_77,1,0
gene_78,1,0
gene_79,1,0
gene_8,1.34890102892084e-17,1
gene_80,1,0
gene_81,1,0
gene_82,1,0
gene_83,1,0
gene_84,1,0
gene_85,1,0
gene_86,1,0
gene_87,1,0
gene_88,1,0
gene_89,1,0
gene_9,1.32186486627388e-103,1
gene_90,1,0
gene_91,1,0
gene_92,1,0
gene_93,1,0
gene_94,1,0
gene_95,1,0
gene_96,1,0
gene_97,1,0
gene_98,1,0
gene_99,1,0
