,fdrs,spatially_variable
gene_0,1.0,1
gene_1,2.8317331899733385e-253,1
gene_2,0.0,1
gene_3,1.0,1
gene_4,0.0,1
gene_5,2.6019369965995626e-175,1
gene_6,5.868148074312307e-270,1
gene_7,1.0,1
gene_8,3.731588570747679e-273,1
gene_9,6.928041736388789e-157,1
gene_10,1.0,1
gene_11,9.44993132848869e-25,1
gene_12,1.6581747530345902e-86,1
gene_13,1.0,1
gene_14,7.117396624931103e-22,1
gene_15,1.042890215280049e-174,1
gene_16,1.7795019263096314e-126,1
gene_17,2.6257072263416333e-104,1
gene_18,0.0,1
gene_19,1.0,1
gene_20,4.7143440984219385e-241,1
gene_21,1.2492477900801853e-203,1
gene_22,1.0,1
gene_23,1.0,1
gene_24,1.0,1
gene_25,0.0,1
gene_26,7.064627319781725e-15,1
gene_27,6.3719885630585194e-167,1
gene_28,1.8303511104351016e-14,1
gene_29,2.1918768559612217e-53,1
gene_30,8.474901314548932e-24,1
gene_31,1.5343066628846574e-26,1
gene_32,1.2415483203941445e-129,1
gene_33,7.7942480066389e-279,1
gene_34,0.0,1
gene_35,1.0,1
gene_36,1.0,1
gene_37,1.5934725135036783e-112,1
gene_38,1.195806225209513e-235,1
gene_39,1.0,1
gene_40,7.419694955723472e-55,1
gene_41,6.641975935176998e-120,1
gene_42,0.7770050692856384,1
gene_43,6.390859571706704e-05,1
gene_44,4.494094220496762e-183,1
gene_45,1.0,1
gene_46,0.0,1
gene_47,4.74714925277789e-34,1
gene_48,0.0,1
gene_49,1.0,1
gene_50,1.0,0
gene_51,1.0,0
gene_52,1.0,0
gene_53,1.0,0
gene_54,1.0,0
gene_55,1.0,0
gene_56,1.0,0
gene_57,1.0,0
gene_58,1.0,0
gene_59,1.0,0
gene_60,1.0,0
gene_61,1.0,0
gene_62,1.0,0
gene_63,1.0,0
gene_64,1.0,0
gene_65,1.0,0
gene_66,1.0,0
gene_67,1.0,0
gene_68,1.0,0
gene_69,1.0,0
gene_70,1.0,0
gene_71,1.0,0
gene_72,1.0,0
gene_73,1.0,0
gene_74,1.0,0
gene_75,1.0,0
gene_76,1.0,0
gene_77,1.0,0
gene_78,1.0,0
gene_79,1.0,0
gene_80,1.0,0
gene_81,1.0,0
gene_82,1.0,0
gene_83,1.0,0
gene_84,1.0,0
gene_85,1.0,0
gene_86,1.0,0
gene_87,1.0,0
gene_88,1.0,0
gene_89,1.0,0
gene_90,1.0,0
gene_91,1.0,0
gene_92,1.0,0
gene_93,1.0,0
gene_94,1.0,0
gene_95,1.0,0
gene_96,1.0,0
gene_97,1.0,0
gene_98,1.0,0
gene_99,1.0,0
gene_100,1.0,0
gene_101,1.0,0
gene_102,1.0,0
gene_103,1.0,0
gene_104,1.0,0
gene_105,1.0,0
gene_106,1.0,0
gene_107,1.0,0
gene_108,1.0,0
gene_109,1.0,0
gene_110,1.0,0
gene_111,1.0,0
gene_112,1.0,0
gene_113,1.0,0
gene_114,1.0,0
