,fdrs,spatially_variable
gene_0,2.0012328615111256e-279,1
gene_1,0.40991474091411495,1
gene_2,0.0,1
gene_3,6.554011022026335e-300,1
gene_4,9.730910403288704e-199,1
gene_5,1.58794520597452e-128,1
gene_6,2.1844905583525434e-280,1
gene_7,0.0,1
gene_8,8.047516339300563e-109,1
gene_9,0.0,1
gene_10,7.140679463657114e-24,1
gene_11,2.2869539289501467e-75,1
gene_12,0.0,1
gene_13,0.0,1
gene_14,1.0,1
gene_15,1.9806289880824797e-169,1
gene_16,1.0,1
gene_17,0.0,1
gene_18,0.0,1
gene_19,1.0,1
gene_20,2.8397087774476376e-28,1
gene_21,8.80830948850272e-149,1
gene_22,1.0,1
gene_23,2.0758125735008215e-205,1
gene_24,3.5283776259510906e-66,1
gene_25,1.0,1
gene_26,1.0,1
gene_27,1.0,1
gene_28,0.0,1
gene_29,1.7079547915427043e-166,1
gene_30,1.0,1
gene_31,4.212594646442263e-100,1
gene_32,1.0,1
gene_33,1.0,1
gene_34,0.0,1
gene_35,0.0,1
gene_36,1.529264754562049e-39,1
gene_37,1.8510206638388456e-86,1
gene_38,1.0,1
gene_39,0.041920311264728845,1
gene_40,0.0,1
gene_41,5.0466619899276446e-130,1
gene_42,2.63603230264333e-175,1
gene_43,1.343367071077632e-07,1
gene_44,1.1313338837679484e-122,1
gene_45,4.833691060837885e-52,1
gene_46,2.471570777720857e-57,1
gene_47,0.0004072591731465281,1
gene_48,3.0520528208809244e-32,1
gene_49,1.0,1
gene_50,1.0,0
gene_51,1.0,0
gene_52,1.0,0
gene_53,1.0,0
gene_54,1.0,0
gene_55,1.0,0
gene_56,1.0,0
gene_57,1.0,0
gene_58,1.0,0
gene_59,1.0,0
gene_60,1.0,0
gene_61,1.0,0
gene_62,1.0,0
gene_63,1.0,0
gene_64,1.0,0
gene_65,1.0,0
gene_66,1.0,0
gene_67,1.0,0
gene_68,1.0,0
gene_69,1.0,0
gene_70,1.0,0
gene_71,1.0,0
gene_72,1.0,0
gene_73,1.0,0
gene_74,1.0,0
gene_75,1.0,0
gene_76,1.0,0
gene_77,1.0,0
gene_78,1.0,0
gene_79,1.0,0
gene_80,1.0,0
gene_81,1.0,0
gene_82,1.0,0
gene_83,1.0,0
gene_84,1.0,0
gene_85,1.0,0
gene_86,1.0,0
gene_87,1.0,0
gene_88,1.0,0
gene_89,1.0,0
gene_90,1.0,0
gene_91,1.0,0
gene_92,1.0,0
gene_93,1.0,0
gene_94,1.0,0
gene_95,1.0,0
gene_96,1.0,0
gene_97,1.0,0
gene_98,1.0,0
gene_99,1.0,0
gene_100,1.0,0
gene_101,1.0,0
gene_102,1.0,0
gene_103,1.0,0
gene_104,1.0,0
gene_105,1.0,0
gene_106,1.0,0
gene_107,1.0,0
gene_108,1.0,0
gene_109,1.0,0
gene_110,1.0,0
gene_111,1.0,0
gene_112,1.0,0
gene_113,1.0,0
gene_114,1.0,0
gene_115,1.0,0
gene_116,1.0,0
gene_117,1.0,0
gene_118,1.0,0
gene_119,1.0,0
gene_120,1.0,0
gene_121,1.0,0
gene_122,1.0,0
gene_123,1.0,0
gene_124,1.0,0
gene_125,1.0,0
gene_126,1.0,0
gene_127,1.0,0
gene_128,1.0,0
gene_129,1.0,0
gene_130,1.0,0
gene_131,1.0,0
gene_132,1.0,0
gene_133,1.0,0
gene_134,1.0,0
gene_135,1.0,0
gene_136,1.0,0
gene_137,1.0,0
gene_138,1.0,0
gene_139,1.0,0
gene_140,1.0,0
gene_141,1.0,0
gene_142,1.0,0
gene_143,1.0,0
gene_144,1.0,0
gene_145,1.0,0
gene_146,1.0,0
gene_147,1.0,0
gene_148,1.0,0
gene_149,1.0,0
gene_150,1.0,0
gene_151,1.0,0
gene_152,1.0,0
gene_153,1.0,0
gene_154,1.0,0
gene_155,1.0,0
gene_156,1.0,0
gene_157,1.0,0
gene_158,1.0,0
gene_159,1.0,0
gene_160,1.0,0
gene_161,1.0,0
gene_162,1.0,0
gene_163,1.0,0
gene_164,1.0,0
gene_165,1.0,0
gene_166,1.0,0
gene_167,1.0,0
gene_168,1.0,0
gene_169,1.0,0
gene_170,1.0,0
gene_171,1.0,0
gene_172,1.0,0
gene_173,1.0,0
