,fdrs,spatially_variable
gene_0,1.0,1
gene_1,2.4279050512029672e-11,1
gene_2,1.3752149639832765e-272,1
gene_3,5.471577585254437e-113,1
gene_4,1.682847568018437e-182,1
gene_5,0.0,1
gene_6,4.6265769825895346e-154,1
gene_7,2.224916553539755e-54,1
gene_8,0.0,1
gene_9,2.871393481003468e-149,1
gene_10,0.0,1
gene_11,3.283262917990116e-154,1
gene_12,1.1413551666780669e-180,1
gene_13,4.8135914496105365e-229,1
gene_14,1.0,1
gene_15,1.0,1
gene_16,1.0,1
gene_17,5.824918785461678e-56,1
gene_18,0.0,1
gene_19,0.0,1
gene_20,0.0,1
gene_21,2.791301107768535e-22,1
gene_22,1.0,1
gene_23,5.577489154226976e-99,1
gene_24,1.0,1
gene_25,3.641447559382542e-18,1
gene_26,7.061601358181507e-39,1
gene_27,4.599550962599329e-126,1
gene_28,1.531994174197784e-10,1
gene_29,2.396272160638273e-47,1
gene_30,1.0,1
gene_31,1.0,1
gene_32,1.0,1
gene_33,1.0,1
gene_34,0.0,1
gene_35,0.0,1
gene_36,5.270353110701835e-275,1
gene_37,0.0,1
gene_38,1.0,1
gene_39,1.8144540649881752e-151,1
gene_40,7.091978055446196e-242,1
gene_41,1.0,1
gene_42,3.4450006034952786e-264,1
gene_43,5.273825924165897e-198,1
gene_44,7.162159344039533e-196,1
gene_45,1.0,1
gene_46,1.0,1
gene_47,2.002001368242442e-153,1
gene_48,1.0,1
gene_49,2.2434613255422957e-241,1
gene_50,1.0,0
gene_51,1.0,0
gene_52,1.0,0
gene_53,1.0,0
gene_54,1.0,0
gene_55,1.0,0
gene_56,1.0,0
gene_57,1.0,0
gene_58,1.0,0
gene_59,1.0,0
gene_60,1.0,0
gene_61,1.0,0
gene_62,1.0,0
gene_63,1.0,0
gene_64,1.0,0
gene_65,1.0,0
gene_66,1.0,0
gene_67,1.0,0
gene_68,1.0,0
gene_69,1.0,0
gene_70,1.0,0
gene_71,1.0,0
gene_72,1.0,0
gene_73,1.0,0
gene_74,1.0,0
gene_75,1.0,0
gene_76,1.0,0
gene_77,1.0,0
gene_78,1.0,0
gene_79,1.0,0
gene_80,1.0,0
gene_81,1.0,0
gene_82,1.0,0
gene_83,1.0,0
gene_84,1.0,0
gene_85,1.0,0
gene_86,1.0,0
gene_87,1.0,0
gene_88,1.0,0
gene_89,1.0,0
gene_90,1.0,0
gene_91,1.0,0
gene_92,1.0,0
gene_93,1.0,0
gene_94,1.0,0
gene_95,1.0,0
gene_96,1.0,0
gene_97,1.0,0
gene_98,1.0,0
gene_99,1.0,0
gene_100,1.0,0
gene_101,1.0,0
gene_102,1.0,0
gene_103,1.0,0
gene_104,1.0,0
gene_105,1.0,0
gene_106,1.0,0
gene_107,1.0,0
gene_108,1.0,0
gene_109,1.0,0
gene_110,1.0,0
gene_111,1.0,0
gene_112,1.0,0
gene_113,1.0,0
gene_114,1.0,0
gene_115,1.0,0
gene_116,1.0,0
gene_117,1.0,0
gene_118,1.0,0
gene_119,1.0,0
gene_120,1.0,0
gene_121,1.0,0
gene_122,1.0,0
gene_123,1.0,0
gene_124,1.0,0
gene_125,1.0,0
gene_126,1.0,0
gene_127,1.0,0
gene_128,1.0,0
gene_129,1.0,0
gene_130,1.0,0
gene_131,1.0,0
gene_132,1.0,0
gene_133,1.0,0
gene_134,1.0,0
gene_135,1.0,0
gene_136,1.0,0
gene_137,1.0,0
gene_138,1.0,0
gene_139,1.0,0
gene_140,1.0,0
gene_141,1.0,0
gene_142,1.0,0
gene_143,1.0,0
gene_144,1.0,0
gene_145,1.0,0
gene_146,1.0,0
gene_147,1.0,0
gene_148,1.0,0
gene_149,1.0,0
gene_150,1.0,0
gene_151,1.0,0
gene_152,1.0,0
gene_153,1.0,0
gene_154,1.0,0
gene_155,1.0,0
gene_156,1.0,0
gene_157,1.0,0
gene_158,1.0,0
gene_159,1.0,0
gene_160,1.0,0
