,pvals_adj,spatially_variable
gene_0,0.1870928407002294,1
gene_1,4.686992790397211e-21,1
gene_2,6.866708194309335e-11,1
gene_3,0.626552534186387,1
gene_4,2.6114789096145792e-33,1
gene_5,1.1790143082265619e-22,1
gene_6,1.9906737770900376e-65,1
gene_7,0.06709627492874208,1
gene_8,7.926713577504252e-10,1
gene_9,6.833980502614082e-10,1
gene_10,1.2573527478960996e-32,1
gene_11,1.7755236365064766e-31,1
gene_12,3.7642565031555014e-21,1
gene_13,1.9759767195330436e-19,1
gene_14,0.06466018467752253,1
gene_15,0.010829661880053833,1
gene_16,2.4316086857131813e-34,1
gene_17,2.8085835999301806e-10,1
gene_18,7.624171409868461e-30,1
gene_19,0.5144803411429476,1
gene_20,0.3336509387446419,1
gene_21,2.3234465461915904e-44,1
gene_22,0.18342646375131277,1
gene_23,0.8662685783639744,1
gene_24,0.004140784175326455,1
gene_25,4.397384130974072e-33,1
gene_26,1.6806215949031691e-07,1
gene_27,2.4900569664734624e-07,1
gene_28,6.866708194309335e-11,1
gene_29,4.305006909704326e-13,1
gene_30,0.015769672339667473,1
gene_31,0.061252591898022644,1
gene_32,0.11593261855788231,1
gene_33,4.332500509726123e-08,1
gene_34,2.9853394469689474e-05,1
gene_35,0.010829661880053833,1
gene_36,2.9853394469689474e-05,1
gene_37,1.1142771455938655e-49,1
gene_38,1.1719499472124779e-07,1
gene_39,1.6436471099192285e-19,1
gene_40,1.6524367805540663e-24,1
gene_41,3.8913460555203535e-12,1
gene_42,0.8076367265667217,1
gene_43,6.74636844326915e-59,1
gene_44,0.0006396737910224812,1
gene_45,0.3485283499695292,1
gene_46,7.354791497023736e-68,1
gene_47,1.8708283553927156e-05,1
gene_48,0.41756534130631157,1
gene_49,0.13521372093229056,1
gene_50,0.5607668050175884,0
gene_51,0.9169696558919367,0
gene_52,0.3676474802137471,0
gene_53,0.9759728050096318,0
gene_54,0.4159053287073954,0
gene_55,0.44728689264211585,0
