,pvals_adj,spatially_variable
gene_0,6.230810325740508e-09,1
gene_1,8.650102200037768e-40,1
gene_2,2.42470002655942e-32,1
gene_3,2.623136210057655e-07,1
gene_4,5.756908061535981e-30,1
gene_5,1.3173605088789774e-88,1
gene_6,0.31280056348904306,1
gene_7,3.5913464147846104e-83,1
gene_8,4.995028153246793e-55,1
gene_9,5.121466140637911e-37,1
gene_10,6.127637957276106e-91,1
gene_11,2.435861633207542e-45,1
gene_12,2.2358974009554208e-60,1
gene_13,4.846600581751748e-23,1
gene_14,8.112922880665707e-31,1
gene_15,1.0396563401853492e-102,1
gene_16,7.335371292916015e-41,1
gene_17,8.447993278296337e-18,1
gene_18,4.1119125689845506e-32,1
gene_19,2.205309110518941e-12,1
gene_20,2.3375319309696727e-37,1
gene_21,7.92936190535807e-88,1
gene_22,1.0424668528210897e-89,1
gene_23,1.6971187205929355e-67,1
gene_24,2.843858176188297e-27,1
gene_25,3.5685605709841105e-76,1
gene_26,7.340816908960898e-06,1
gene_27,3.962881286536211e-28,1
gene_28,5.724436868802122e-10,1
gene_29,0.010292333362584654,1
gene_30,0.018229853289214306,1
gene_31,2.7797388664986805e-42,1
gene_32,2.0396913184184737e-72,1
gene_33,5.528141106643501e-29,1
gene_34,1.4675637052907386e-73,1
gene_35,4.773647287189969e-25,1
gene_36,4.034161096740492e-75,1
gene_37,1.352216222881193e-95,1
gene_38,3.6529569286568335e-47,1
gene_39,8.092333481612683e-26,1
gene_40,2.2122968084074182e-10,1
gene_41,5.9735061928418776e-36,1
gene_42,1.3843784173447672e-106,1
gene_43,5.874870344611967e-36,1
gene_44,1.6790935771809976e-58,1
gene_45,1.0241703458272784e-32,1
gene_46,9.534656944670684e-47,1
gene_47,2.506733068917465e-112,1
gene_48,5.495754844764099e-57,1
gene_49,2.3056636188647407e-24,1
gene_50,0.889419202347906,0
gene_51,0.7186272250355011,0
gene_52,0.2083611853157411,0
gene_53,0.6172180264022356,0
gene_54,0.45187776751675196,0
gene_55,0.008844827694833761,0
gene_56,0.11088392790985216,0
gene_57,0.6172180264022356,0
gene_58,0.3333493834917305,0
gene_59,0.027937352939624818,0
gene_60,0.4069772259828387,0
gene_61,0.12302658769408732,0
gene_62,0.46324944331477225,0
gene_63,0.5226466191101814,0
gene_64,0.7926035887006448,0
gene_65,0.5980255680493615,0
gene_66,0.6846774696435903,0
gene_67,7.170474687729074e-05,0
gene_68,0.14100733338723012,0
gene_69,0.8789340879868045,0
gene_70,0.28952111974171457,0
gene_71,0.3975530404804101,0
gene_72,0.7926035887006448,0
gene_73,0.7018252473559274,0
gene_74,0.42099977743975453,0
gene_75,0.6352268705519513,0
gene_76,0.8644010158682692,0
gene_77,0.45449258299054635,0
gene_78,0.15769412189708995,0
gene_79,0.7858760902717782,0
gene_80,0.613970079472267,0
gene_81,0.5074019628218474,0
gene_82,0.6375153519793596,0
gene_83,0.45181638334881014,0
gene_84,0.44560700613787574,0
gene_85,0.7127712889496267,0
gene_86,0.7183330850424965,0
