,fdr,spatially_variable
gene_0,4.9999999999999993e-29,1
gene_1,4.9999999999999993e-29,1
gene_2,4.9999999999999993e-29,1
gene_3,4.9999999999999993e-29,1
gene_4,4.9999999999999993e-29,1
gene_5,4.9999999999999993e-29,1
gene_6,4.9999999999999993e-29,1
gene_7,4.9999999999999993e-29,1
gene_8,4.9999999999999993e-29,1
gene_9,4.9999999999999993e-29,1
gene_10,4.9999999999999993e-29,1
gene_11,4.9999999999999993e-29,1
gene_12,4.9999999999999993e-29,1
gene_13,4.9999999999999993e-29,1
gene_14,4.9999999999999993e-29,1
gene_15,4.9999999999999993e-29,1
gene_16,4.9999999999999993e-29,1
gene_17,4.9999999999999993e-29,1
gene_18,4.9999999999999993e-29,1
gene_19,4.9999999999999993e-29,1
gene_20,4.9999999999999993e-29,1
gene_21,4.9999999999999993e-29,1
gene_22,4.9999999999999993e-29,1
gene_23,4.9999999999999993e-29,1
gene_24,4.9999999999999993e-29,1
gene_25,4.9999999999999993e-29,1
gene_26,4.9999999999999993e-29,1
gene_27,4.9999999999999993e-29,1
gene_28,4.9999999999999993e-29,1
gene_29,4.9999999999999993e-29,1
gene_30,4.9999999999999993e-29,1
gene_31,4.9999999999999993e-29,1
gene_32,4.9999999999999993e-29,1
gene_33,4.9999999999999993e-29,1
gene_34,4.9999999999999993e-29,1
gene_35,4.9999999999999993e-29,1
gene_36,4.9999999999999993e-29,1
gene_37,4.9999999999999993e-29,1
gene_38,4.9999999999999993e-29,1
gene_39,4.9999999999999993e-29,1
gene_40,4.9999999999999993e-29,1
gene_41,4.9999999999999993e-29,1
gene_42,4.9999999999999993e-29,1
gene_43,4.9999999999999993e-29,1
gene_44,4.9999999999999993e-29,1
gene_45,4.9999999999999993e-29,1
gene_46,4.9999999999999993e-29,1
gene_47,4.9999999999999993e-29,1
gene_48,4.9999999999999993e-29,1
gene_49,4.9999999999999993e-29,1
gene_50,0.040800284956953196,0
gene_51,0.0038612645425853535,0
gene_52,0.004689847562518866,0
gene_53,0.03765319787393444,0
gene_54,0.04695005941139035,0
gene_55,0.054481745005817005,0
gene_56,0.023508509760928296,0
gene_57,0.001384626615584943,0
gene_58,0.0064106872769336565,0
gene_59,0.00666381443838184,0
gene_60,0.0038319380724453093,0
gene_61,0.0038612645425853535,0
gene_62,0.4985251750106966,0
gene_63,0.004630812715258892,0
gene_64,0.05097715189964365,0
