,pvals_adj,spatially_variable
gene_0,2.4894284404806726e-75,1
gene_1,5.536492759403266e-17,1
gene_2,0.04322575225872652,1
gene_3,1.7703215951522843e-50,1
gene_4,2.0819452455351585e-39,1
gene_5,4.1476452181894325e-19,1
gene_6,9.685437433920218e-30,1
gene_7,1.3372765623649534e-13,1
gene_8,2.211399993811408e-22,1
gene_9,2.5037898731167536e-77,1
gene_10,6.750007437990336e-82,1
gene_11,1.2017658177075351e-18,1
gene_12,3.864237174316852e-34,1
gene_13,3.4843605173983714e-57,1
gene_14,1.6131595672287284e-53,1
gene_15,2.7583374724110545e-93,1
gene_16,5.521936228256729e-76,1
gene_17,2.9642839157648494e-52,1
gene_18,2.4649240430590586e-18,1
gene_19,4.861261505019765e-90,1
gene_20,1.063937030181768e-07,1
gene_21,1.2215272896488729e-64,1
gene_22,4.473349630016233e-73,1
gene_23,0.0013071317104034242,1
gene_24,3.910175709045265e-50,1
gene_25,1.6111516976219242e-75,1
gene_26,2.1821100268521255e-50,1
gene_27,1.2429773920669456e-36,1
gene_28,1.884811608310236e-13,1
gene_29,5.142942309792944e-56,1
gene_30,2.4462391285254373e-50,1
gene_31,4.8784729670442175e-24,1
gene_32,1.611898089446835e-45,1
gene_33,7.484942577003045e-13,1
gene_34,6.589559679886714e-97,1
gene_35,1.4789128845192077e-27,1
gene_36,1.0025622108937059e-82,1
gene_37,2.1824172494465657e-42,1
gene_38,8.776185010156067e-25,1
gene_39,1.103738059063302e-43,1
gene_40,9.313796273330605e-06,1
gene_41,3.67045676879175e-89,1
gene_42,2.2590961291545682e-67,1
gene_43,3.890939362416595e-105,1
gene_44,1.1951051487064521e-11,1
gene_45,6.431512357146674e-41,1
gene_46,3.020593404914557e-10,1
gene_47,4.0688252190488815e-21,1
gene_48,1.06359408073031e-58,1
gene_49,1.1095751957400526e-12,1
gene_50,0.5200903196355796,0
gene_51,0.6802478025490414,0
gene_52,0.21265388029975743,0
gene_53,0.38461928299211257,0
gene_54,0.7436856643544527,0
gene_55,0.1826829935708912,0
gene_56,0.32651781769803945,0
gene_57,0.022469689437950243,0
gene_58,0.5811198897084897,0
gene_59,0.6368494316484276,0
gene_60,0.1826829935708912,0
gene_61,0.9614399248827814,0
gene_62,0.7419399563940684,0
gene_63,2.232288179241301e-07,0
gene_64,0.1826829935708912,0
gene_65,0.5482940672241292,0
gene_66,0.011394180438842222,0
gene_67,0.48450089811490116,0
gene_68,0.6809988393719176,0
gene_69,0.6809988393719176,0
gene_70,0.26289784042639947,0
gene_71,0.4001508756805666,0
gene_72,0.13426413003637078,0
gene_73,0.14177144877622966,0
gene_74,0.6368494316484276,0
gene_75,0.4653354481755291,0
gene_76,0.45060995729316866,0
gene_77,0.21221151425958037,0
gene_78,0.14932283350475353,0
gene_79,0.5736646986335417,0
gene_80,0.7303044147964488,0
gene_81,0.6486376419504215,0
gene_82,0.4911485284418695,0
gene_83,0.15089674913656817,0
gene_84,0.4771800744215142,0
gene_85,0.07787381989445763,0
gene_86,0.2228910640267494,0
gene_87,0.523414336860619,0
gene_88,0.6809988393719176,0
gene_89,0.1826829935708912,0
gene_90,0.5280882911420741,0
gene_91,0.6768182808333096,0
gene_92,0.6504846977123785,0
gene_93,0.056150719442814294,0
gene_94,0.6802478025490414,0
gene_95,0.4990136792835644,0
gene_96,0.14548071088183234,0
gene_97,0.052502227524973556,0
gene_98,0.0493455762647615,0
gene_99,0.5588843754114675,0
gene_100,0.20042712587362913,0
gene_101,0.45385819644918374,0
gene_102,0.22401733369781826,0
gene_103,0.45958010558986523,0
gene_104,0.7303044147964488,0
gene_105,0.4168387742633067,0
gene_106,0.478269593241524,0
gene_107,0.25938667963756756,0
gene_108,0.7892752010041314,0
gene_109,0.6486797950712148,0
gene_110,0.5739556361188365,0
gene_111,0.4657264900319141,0
gene_112,0.6717428172964669,0
gene_113,0.3829263792752951,0
gene_114,0.05077895150018394,0
gene_115,0.2095342231928781,0
gene_116,0.8035449028465814,0
gene_117,0.2095342231928781,0
gene_118,0.05373443087620659,0
gene_119,0.07535306239275431,0
gene_120,0.37401915807469527,0
gene_121,0.1826829935708912,0
gene_122,0.7156269545914197,0
gene_123,0.5308031620679154,0
gene_124,0.03943120338268291,0
gene_125,0.7428140238214685,0
gene_126,0.026826675094548554,0
gene_127,0.022469689437950243,0
gene_128,0.37086835735673424,0
gene_129,0.22117968723919001,0
gene_130,0.5203683889960491,0
gene_131,0.09031028902718856,0
gene_132,0.6809988393719176,0
gene_133,0.7112397304146683,0
gene_134,0.38974541007913,0
gene_135,0.09410795106417952,0
gene_136,0.5296651968013341,0
gene_137,0.22117968723919001,0
gene_138,0.4276467555646013,0
gene_139,0.7468488508248068,0
gene_140,0.5744029940243576,0
gene_141,0.6319055718429052,0
gene_142,0.38974541007913,0
gene_143,0.8766576334229507,0
gene_144,0.48450089811490116,0
gene_145,0.4653354481755291,0
gene_146,0.07779473194546753,0
gene_147,0.37086835735673424,0
gene_148,0.13935943989744567,0
gene_149,0.5739556361188365,0
gene_150,0.10870918127632653,0
gene_151,0.07635647231215961,0
gene_152,0.2396923140370031,0
gene_153,0.6488799925819378,0
gene_154,0.5191774156915588,0
gene_155,0.39050950572994686,0
gene_156,0.3926270276467123,0
gene_157,0.2738532867433365,0
gene_158,0.20042712587362913,0
gene_159,0.2573144023235458,0
gene_160,0.004826906105112703,0
gene_161,0.03930313153663174,0
gene_162,0.015210893483287096,0
gene_163,0.5482940672241292,0
gene_164,0.4673202334823825,0
gene_165,0.38461928299211257,0
gene_166,0.6999049351005954,0
gene_167,0.41337271892224936,0
gene_168,1.079736951017433e-09,0
gene_169,0.7658622737753547,0
gene_170,0.8120860402581535,0
gene_171,0.7086106004483329,0
gene_172,0.7823656592220769,0
gene_173,0.7317515672524602,0
gene_174,0.26250006381675856,0
gene_175,0.2426146600238469,0
gene_176,0.4653354481755291,0
gene_177,0.650809886791377,0
gene_178,0.45060995729316866,0
gene_179,1.3820137502322293e-08,0
gene_180,0.6112542338805989,0
gene_181,0.48450089811490116,0
gene_182,0.4771800744215142,0
gene_183,0.10121515422150082,0
gene_184,0.2796516266695827,0
gene_185,0.3535307516923998,0
gene_186,0.11850136181464935,0
gene_187,0.1826829935708912,0
gene_188,0.04939278799199401,0
gene_189,0.2234409337318735,0
gene_190,0.25747190621429905,0
gene_191,0.4631833585767816,0
gene_192,0.26489674980949773,0
gene_193,0.0671766936938581,0
gene_194,0.3416184697758042,0
gene_195,0.6487991713013086,0
gene_196,0.037395752155556294,0
