,pvals_adj,spatially_variable
gene_0,0.029821151350027934,1
gene_1,1.7120730594841433e-11,1
gene_2,4.0175646274117e-58,1
gene_3,9.630262275189279e-85,1
gene_4,8.694992893489373e-23,1
gene_5,3.013443559224492e-23,1
gene_6,7.29693308852627e-83,1
gene_7,1.3599141093599045e-57,1
gene_8,3.2601776529291655e-62,1
gene_9,1.2372151666888043e-20,1
gene_10,3.5160784100890256e-21,1
gene_11,2.2080005412291056e-55,1
gene_12,5.505907114995852e-48,1
gene_13,8.553992535259083e-69,1
gene_14,2.1020538339354684e-55,1
gene_15,1.9928801616469334e-13,1
gene_16,2.7068893102433826e-36,1
gene_17,1.285516208667247e-26,1
gene_18,1.4734267646024814e-31,1
gene_19,2.1575786350039274e-60,1
gene_20,0.6682858154992137,1
gene_21,5.585781046852844e-41,1
gene_22,2.7322544440481885e-43,1
gene_23,3.2694923607028896e-20,1
gene_24,0.013075216537992937,1
gene_25,5.013810598554591e-13,1
gene_26,2.3190859834024645e-17,1
gene_27,1.87860507390484e-37,1
gene_28,3.874492981444515e-05,1
gene_29,1.1141115930562514e-12,1
gene_30,7.242204509115764e-32,1
gene_31,9.630262275189279e-85,1
gene_32,5.009647362336148e-13,1
gene_33,1.6360454376409496e-73,1
gene_34,2.2894848857835612e-61,1
gene_35,7.22315111153425e-31,1
gene_36,2.6322865560099627e-59,1
gene_37,1.958633612182379e-52,1
gene_38,0.5576789720727883,1
gene_39,5.497733189200247e-26,1
gene_40,1.9932014009809836e-44,1
gene_41,2.6331602970692743e-63,1
gene_42,4.020954360776697e-51,1
gene_43,3.60270977817521e-32,1
gene_44,1.0958131743347531e-42,1
gene_45,1.2990968027013734e-59,1
gene_46,1.0959652346351616e-81,1
gene_47,8.139199641115254e-16,1
gene_48,9.29686712761812e-58,1
gene_49,7.1878644717458375e-28,1
gene_50,0.11723318339430068,0
gene_51,0.08934202149872571,0
gene_52,0.42177538762314604,0
gene_53,0.268499491661005,0
gene_54,3.6289126290783087e-07,0
gene_55,0.23437992058145204,0
gene_56,0.9049424686342774,0
gene_57,0.21033976688681993,0
gene_58,0.591840324437962,0
gene_59,0.33274672491362944,0
