,pvals_adj,spatially_variable
gene_0,0.05142673283790818,1
gene_1,3.6369444169169145e-42,1
gene_2,1.6331213065549084e-79,1
gene_3,1.3675753422636373e-10,1
gene_4,1.0169022438761552e-10,1
gene_5,4.837131840427565e-69,1
gene_6,2.349063603394157e-91,1
gene_7,6.19910390658964e-73,1
gene_8,1.189664950583531e-61,1
gene_9,1.5520234452932826e-72,1
gene_10,3.880454507273379e-70,1
gene_11,2.7384728899587822e-27,1
gene_12,2.532170587905053e-34,1
gene_13,1.5249832800797417e-35,1
gene_14,2.8700281230405404e-11,1
gene_15,2.0506183318319907e-21,1
gene_16,0.0093701324333291,1
gene_17,1.5609563541155466e-82,1
gene_18,4.468234177920672e-45,1
gene_19,9.394858715112274e-39,1
gene_20,2.1091004949578242e-16,1
gene_21,1.6970670445879013e-12,1
gene_22,1.1026299923624672e-47,1
gene_23,1.4502837551243725e-81,1
gene_24,0.4595184669202228,1
gene_25,9.44058895938186e-22,1
gene_26,9.121167246798252e-59,1
gene_27,0.04901166791719823,1
gene_28,1.0553916468849776e-11,1
gene_29,1.5788367846180645e-28,1
gene_30,0.44623475970574505,1
gene_31,0.11959234004454561,1
gene_32,4.313329987680393e-29,1
gene_33,1.9338144860062542e-35,1
gene_34,6.55892672827405e-97,1
gene_35,5.243492534810869e-66,1
gene_36,7.8011901875194e-84,1
gene_37,5.243492534810869e-66,1
gene_38,2.2927572208992532e-07,1
gene_39,4.0352078258436536e-55,1
gene_40,4.690543341217658e-25,1
gene_41,6.639667283717479e-29,1
gene_42,1.470929754828691e-33,1
gene_43,0.5164929667260121,1
gene_44,5.993417224493398e-16,1
gene_45,9.680590681928211e-30,1
gene_46,2.402059765640965e-48,1
gene_47,2.095262167732965e-47,1
gene_48,0.04901166791719823,1
gene_49,7.686167327520657e-38,1
gene_50,0.7239722552951134,0
gene_51,0.888672426132568,0
gene_52,0.4330967083314509,0
gene_53,0.7797916407716368,0
gene_54,0.8395898116927452,0
gene_55,0.0061709124842395545,0
gene_56,0.9097069395324173,0
gene_57,0.49249273292697443,0
gene_58,0.8395898116927452,0
gene_59,0.8968566283305878,0
gene_60,0.9349026599952573,0
gene_61,0.7395304235386287,0
gene_62,0.6685554166920865,0
gene_63,0.18026787360813673,0
gene_64,0.9097069395324173,0
gene_65,0.9794919114555197,0
gene_66,0.6039701986478462,0
gene_67,0.008270709122876427,0
gene_68,0.19696018891552552,0
gene_69,0.8189061654124864,0
gene_70,0.8456317561480899,0
gene_71,0.940723470622526,0
gene_72,0.7660978657421399,0
gene_73,0.74359283630106,0
gene_74,0.8197434668500614,0
gene_75,0.9097069395324173,0
gene_76,0.3775394945419582,0
gene_77,0.21485366836333372,0
gene_78,0.9408216882066444,0
gene_79,0.43617861750855824,0
gene_80,0.4879037285916245,0
gene_81,0.007232142724948653,0
gene_82,0.18388624117836752,0
gene_83,0.17530682336705572,0
gene_84,0.6986742042017872,0
gene_85,0.7468616918908574,0
gene_86,0.6166339840743605,0
gene_87,0.7126496266222009,0
gene_88,0.9097069395324173,0
gene_89,0.8888374192034727,0
gene_90,0.8395898116927452,0
gene_91,0.8888374192034727,0
gene_92,0.506745844670098,0
gene_93,0.7909688191134073,0
gene_94,0.8596865541491848,0
gene_95,0.15448471785386514,0
gene_96,0.8395898116927452,0
gene_97,0.7173184670507304,0
gene_98,0.9073473582024523,0
gene_99,0.775953199873043,0
gene_100,0.888672426132568,0
gene_101,0.10402454225075994,0
gene_102,0.7180954434778289,0
gene_103,0.8382950118115102,0
gene_104,0.6905027602623013,0
gene_105,0.7848520071893729,0
gene_106,0.9349026599952573,0
gene_107,0.9073473582024523,0
gene_108,0.75882150156012,0
gene_109,0.775953199873043,0
gene_110,0.8392947436214038,0
gene_111,0.9097069395324173,0
gene_112,0.11908355101629232,0
gene_113,0.6514885375080387,0
gene_114,0.8003411617937856,0
gene_115,0.3867478879184075,0
gene_116,0.6905027602623013,0
gene_117,0.4291056677686708,0
gene_118,1.1647356020134122e-05,0
gene_119,0.0003825882710326648,0
gene_120,0.8928700473090745,0
gene_121,0.5477091509515206,0
gene_122,0.7058693617388166,0
gene_123,0.8003411617937856,0
gene_124,0.5434783551227177,0
gene_125,0.3664435677606887,0
gene_126,0.8069100963816008,0
gene_127,0.6039701986478462,0
gene_128,0.2998588587436052,0
gene_129,0.9160963016152277,0
gene_130,0.39882013986316894,0
gene_131,0.8395898116927452,0
gene_132,4.0874017438477917e-05,0
gene_133,0.36368101479612563,0
gene_134,0.8859994021548219,0
gene_135,0.0694282157452055,0
gene_136,0.049374230889765114,0
gene_137,0.5475546361094596,0
gene_138,0.940723470622526,0
gene_139,0.8733513534153488,0
gene_140,0.6039701986478462,0
gene_141,0.2199520654675112,0
gene_142,0.8069100963816008,0
gene_143,0.6039701986478462,0
gene_144,0.7797916407716368,0
gene_145,0.888672426132568,0
gene_146,0.5946946187297508,0
gene_147,0.7178555536921223,0
gene_148,0.75882150156012,0
gene_149,0.07895654264214408,0
gene_150,0.39512035021456576,0
gene_151,0.25205342751883536,0
gene_152,0.6306566639748629,0
gene_153,0.6456059757225515,0
gene_154,0.7731910012881157,0
gene_155,0.8395898116927452,0
gene_156,0.7178555536921223,0
gene_157,0.28734111207543395,0
gene_158,0.8456317561480899,0
gene_159,0.5521794987726577,0
gene_160,0.8919620914442354,0
gene_161,0.7126496266222009,0
gene_162,0.8069100963816008,0
gene_163,0.9289766844275595,0
gene_164,0.9167076664178213,0
gene_165,0.6685554166920865,0
gene_166,0.18388624117836752,0
gene_167,0.6986742042017872,0
gene_168,0.9349026599952573,0
gene_169,0.4291056677686708,0
gene_170,0.3775394945419582,0
gene_171,0.9408216882066444,0
gene_172,0.5617369701829797,0
gene_173,0.6306566639748629,0
